"voxel_id","ncsnr","subj_id","x","y","z"
"S1-12-21-47",0.342871606349945,1,12,21,47
"S1-12-22-41",0.312990754842758,1,12,22,41
"S1-12-22-45",0.516901314258575,1,12,22,45
"S1-12-22-46",0.485629081726074,1,12,22,46
"S1-12-22-47",0.563911616802216,1,12,22,47
"S1-12-22-48",0.666175961494446,1,12,22,48
"S1-12-22-49",0.60645854473114,1,12,22,49
"S1-12-23-39",0.420910030603409,1,12,23,39
"S1-12-23-41",0.378185361623764,1,12,23,41
"S1-12-23-44",0.410424411296844,1,12,23,44
"S1-12-23-45",0.39986315369606,1,12,23,45
"S1-12-23-46",0.410020351409912,1,12,23,46
"S1-12-23-47",0.418238788843155,1,12,23,47
"S1-12-23-48",0.603162527084351,1,12,23,48
"S1-12-23-49",0.404652088880539,1,12,23,49
"S1-12-23-50",0.526968359947205,1,12,23,50
"S1-12-24-39",0.42126938700676,1,12,24,39
"S1-12-24-41",0.270494282245636,1,12,24,41
"S1-12-24-45",0.356257855892181,1,12,24,45
"S1-12-24-46",0.502378821372986,1,12,24,46
"S1-12-24-48",0.208559438586235,1,12,24,48
"S1-12-25-39",0.299660831689835,1,12,25,39
"S1-12-27-47",0.265036791563034,1,12,27,47
"S1-12-28-46",0.297268688678741,1,12,28,46
"S1-12-28-47",0.266237795352936,1,12,28,47
"S1-13-19-47",0.390774518251419,1,13,19,47
"S1-13-20-45",1.348029255867,1,13,20,45
"S1-13-20-46",0.948836147785187,1,13,20,46
"S1-13-20-47",0.642062604427338,1,13,20,47
"S1-13-20-48",0.533159852027893,1,13,20,48
"S1-13-21-41",0.238073959946632,1,13,21,41
"S1-13-21-44",0.575684130191803,1,13,21,44
"S1-13-21-45",0.586755871772766,1,13,21,45
"S1-13-21-46",0.57080739736557,1,13,21,46
"S1-13-21-47",0.633155882358551,1,13,21,47
"S1-13-21-48",0.626510381698608,1,13,21,48
"S1-13-21-49",0.59912896156311,1,13,21,49
"S1-13-21-52",0.277029007673264,1,13,21,52
"S1-13-22-40",0.25105282664299,1,13,22,40
"S1-13-22-42",0.560285031795502,1,13,22,42
"S1-13-22-44",0.422318249940872,1,13,22,44
"S1-13-22-45",0.219243600964546,1,13,22,45
"S1-13-22-46",0.279904216527939,1,13,22,46
"S1-13-22-47",0.623126864433289,1,13,22,47
"S1-13-22-48",0.615683555603027,1,13,22,48
"S1-13-22-49",0.525762319564819,1,13,22,49
"S1-13-22-50",0.460342586040497,1,13,22,50
"S1-13-22-51",0.382585942745209,1,13,22,51
"S1-13-22-52",0.298429876565933,1,13,22,52
"S1-13-23-42",0.447284638881683,1,13,23,42
"S1-13-23-43",0.312081217765808,1,13,23,43
"S1-13-23-44",0.219308391213417,1,13,23,44
"S1-13-23-45",0.206013649702072,1,13,23,45
"S1-13-23-47",0.398633599281311,1,13,23,47
"S1-13-23-48",0.392626166343689,1,13,23,48
"S1-13-23-49",0.217646837234497,1,13,23,49
"S1-13-23-51",0.245508745312691,1,13,23,51
"S1-13-24-42",0.414508074522018,1,13,24,42
"S1-13-24-43",0.488208085298538,1,13,24,43
"S1-13-24-44",0.810731768608093,1,13,24,44
"S1-13-24-45",0.503082633018494,1,13,24,45
"S1-13-24-46",0.369458585977554,1,13,24,46
"S1-13-24-47",0.409925729036331,1,13,24,47
"S1-13-24-48",0.321611166000366,1,13,24,48
"S1-13-24-49",0.409100294113159,1,13,24,49
"S1-13-24-50",0.236620306968689,1,13,24,50
"S1-13-25-44",0.787880897521973,1,13,25,44
"S1-13-27-45",0.608786284923553,1,13,27,45
"S1-13-27-46",0.442072451114655,1,13,27,46
"S1-13-27-47",0.432125568389893,1,13,27,47
"S1-13-28-46",0.302130341529846,1,13,28,46
"S1-13-28-47",0.425994962453842,1,13,28,47
"S1-13-29-45",0.29321077466011,1,13,29,45
"S1-13-29-46",0.427693337202072,1,13,29,46
"S1-14-17-45",0.428534120321274,1,14,17,45
"S1-14-18-44",0.584397792816162,1,14,18,44
"S1-14-18-45",0.716293513774872,1,14,18,45
"S1-14-18-46",0.641087353229523,1,14,18,46
"S1-14-18-47",0.68469113111496,1,14,18,47
"S1-14-19-45",1.30940783023834,1,14,19,45
"S1-14-19-46",1.013552069664,1,14,19,46
"S1-14-19-47",0.71139520406723,1,14,19,47
"S1-14-19-48",0.666462957859039,1,14,19,48
"S1-14-19-49",0.64960914850235,1,14,19,49
"S1-14-20-44",0.997526347637176,1,14,20,44
"S1-14-20-45",1.29893612861633,1,14,20,45
"S1-14-20-46",0.955016672611237,1,14,20,46
"S1-14-20-47",0.63541442155838,1,14,20,47
"S1-14-20-48",0.570544481277466,1,14,20,48
"S1-14-20-49",0.383383184671402,1,14,20,49
"S1-14-20-51",0.411447942256927,1,14,20,51
"S1-14-21-39",0.331094652414322,1,14,21,39
"S1-14-21-40",0.216373160481453,1,14,21,40
"S1-14-21-43",0.786626517772675,1,14,21,43
"S1-14-21-44",0.427010774612427,1,14,21,44
"S1-14-21-45",0.533526122570038,1,14,21,45
"S1-14-21-46",0.53821724653244,1,14,21,46
"S1-14-21-47",0.422046691179276,1,14,21,47
"S1-14-21-48",0.418248951435089,1,14,21,48
"S1-14-21-49",0.327544033527374,1,14,21,49
"S1-14-21-51",0.372120887041092,1,14,21,51
"S1-14-22-42",0.506660223007202,1,14,22,42
"S1-14-22-43",0.397002756595612,1,14,22,43
"S1-14-22-48",0.311676621437073,1,14,22,48
"S1-14-22-49",0.411998122930527,1,14,22,49
"S1-14-22-50",0.277645885944366,1,14,22,50
"S1-14-22-51",0.274289190769196,1,14,22,51
"S1-14-23-41",0.350469410419464,1,14,23,41
"S1-14-23-42",0.558421194553375,1,14,23,42
"S1-14-23-43",0.347012728452682,1,14,23,43
"S1-14-23-46",0.335115671157837,1,14,23,46
"S1-14-23-49",0.229108437895775,1,14,23,49
"S1-14-23-50",0.231626525521278,1,14,23,50
"S1-14-23-51",0.233353644609451,1,14,23,51
"S1-14-23-52",0.224054753780365,1,14,23,52
"S1-14-24-42",0.527417063713074,1,14,24,42
"S1-14-24-43",0.35733899474144,1,14,24,43
"S1-14-24-44",0.241298481822014,1,14,24,44
"S1-14-24-45",0.77130264043808,1,14,24,45
"S1-14-24-46",0.662021994590759,1,14,24,46
"S1-14-24-47",0.494570285081863,1,14,24,47
"S1-14-24-48",0.61832857131958,1,14,24,48
"S1-14-24-49",0.376489996910095,1,14,24,49
"S1-14-24-50",0.216115698218346,1,14,24,50
"S1-14-24-51",0.289912790060043,1,14,24,51
"S1-14-25-43",0.301165550947189,1,14,25,43
"S1-14-25-44",0.358316659927368,1,14,25,44
"S1-14-25-45",0.577391922473907,1,14,25,45
"S1-14-26-43",0.53576248884201,1,14,26,43
"S1-14-26-44",0.760220885276794,1,14,26,44
"S1-14-26-46",0.649263560771942,1,14,26,46
"S1-14-27-45",0.699991345405579,1,14,27,45
"S1-14-27-46",0.407686918973923,1,14,27,46
"S1-14-27-47",0.264925748109818,1,14,27,47
"S1-14-28-45",0.282489120960236,1,14,28,45
"S1-14-28-46",0.20149952173233,1,14,28,46
"S1-14-29-46",0.534662365913391,1,14,29,46
"S1-14-29-47",0.393725126981735,1,14,29,47
"S1-14-30-46",0.417738407850266,1,14,30,46
"S1-15-17-43",0.283564031124115,1,15,17,43
"S1-15-17-44",0.541954159736633,1,15,17,44
"S1-15-17-45",0.68975818157196,1,15,17,45
"S1-15-17-46",0.645921945571899,1,15,17,46
"S1-15-17-47",0.891606688499451,1,15,17,47
"S1-15-17-48",0.666475057601929,1,15,17,48
"S1-15-18-43",0.614408373832703,1,15,18,43
"S1-15-18-44",0.839755594730377,1,15,18,44
"S1-15-18-45",0.698849260807037,1,15,18,45
"S1-15-18-46",0.598684906959534,1,15,18,46
"S1-15-18-47",0.581130921840668,1,15,18,47
"S1-15-18-48",0.454610079526901,1,15,18,48
"S1-15-18-49",0.365719050168991,1,15,18,49
"S1-15-19-43",0.996228933334351,1,15,19,43
"S1-15-19-44",0.552160918712616,1,15,19,44
"S1-15-19-45",0.955175340175629,1,15,19,45
"S1-15-19-46",0.736302256584167,1,15,19,46
"S1-15-19-47",0.310525625944138,1,15,19,47
"S1-15-19-48",0.326833575963974,1,15,19,48
"S1-15-19-49",0.396834820508957,1,15,19,49
"S1-15-20-39",0.454189836978912,1,15,20,39
"S1-15-20-40",0.433659791946411,1,15,20,40
"S1-15-20-44",0.809071958065033,1,15,20,44
"S1-15-20-45",1.33084523677826,1,15,20,45
"S1-15-20-46",1.03541612625122,1,15,20,46
"S1-15-20-48",0.233649149537086,1,15,20,48
"S1-15-20-49",0.238260507583618,1,15,20,49
"S1-15-21-39",0.514977097511292,1,15,21,39
"S1-15-21-40",0.329559981822968,1,15,21,40
"S1-15-21-41",0.302051395177841,1,15,21,41
"S1-15-21-42",0.556950986385345,1,15,21,42
"S1-15-21-43",0.802471101284027,1,15,21,43
"S1-15-21-44",0.521771013736725,1,15,21,44
"S1-15-21-45",0.907293081283569,1,15,21,45
"S1-15-21-46",0.755439639091492,1,15,21,46
"S1-15-21-48",0.274049699306488,1,15,21,48
"S1-15-21-49",0.39636442065239,1,15,21,49
"S1-15-21-51",0.225239485502243,1,15,21,51
"S1-15-22-41",0.31329956650734,1,15,22,41
"S1-15-22-42",0.364847838878632,1,15,22,42
"S1-15-22-43",0.201203852891922,1,15,22,43
"S1-15-22-48",0.359868079423904,1,15,22,48
"S1-15-22-49",0.587842762470245,1,15,22,49
"S1-15-22-50",0.346520662307739,1,15,22,50
"S1-15-23-41",0.359451979398727,1,15,23,41
"S1-15-23-43",0.200780630111694,1,15,23,43
"S1-15-23-45",0.455146968364716,1,15,23,45
"S1-15-23-46",0.685230016708374,1,15,23,46
"S1-15-23-47",0.22063384950161,1,15,23,47
"S1-15-23-50",0.263147503137589,1,15,23,50
"S1-15-23-51",0.245818629860878,1,15,23,51
"S1-15-24-41",0.325842052698135,1,15,24,41
"S1-15-24-42",0.563378810882568,1,15,24,42
"S1-15-24-43",0.242218539118767,1,15,24,43
"S1-15-24-45",0.763386428356171,1,15,24,45
"S1-15-24-46",0.816705286502838,1,15,24,46
"S1-15-24-47",0.808032155036926,1,15,24,47
"S1-15-24-48",0.550709426403046,1,15,24,48
"S1-15-24-49",0.382209300994873,1,15,24,49
"S1-15-24-50",0.304102033376694,1,15,24,50
"S1-15-24-51",0.303190320730209,1,15,24,51
"S1-15-25-41",0.384331852197647,1,15,25,41
"S1-15-25-42",0.484887927770615,1,15,25,42
"S1-15-25-43",0.320722818374634,1,15,25,43
"S1-15-25-44",0.428389728069305,1,15,25,44
"S1-15-25-45",0.510631620883942,1,15,25,45
"S1-15-25-49",0.471109747886658,1,15,25,49
"S1-15-26-41",0.341234356164932,1,15,26,41
"S1-15-26-43",0.495492160320282,1,15,26,43
"S1-15-26-44",0.455966949462891,1,15,26,44
"S1-15-26-45",0.755857229232788,1,15,26,45
"S1-15-26-46",0.723302006721497,1,15,26,46
"S1-15-26-47",0.520182967185974,1,15,26,47
"S1-15-27-42",0.333314388990402,1,15,27,42
"S1-15-27-44",0.721879124641418,1,15,27,44
"S1-15-27-45",0.820467412471771,1,15,27,45
"S1-15-27-46",0.492536187171936,1,15,27,46
"S1-15-27-47",0.370339393615723,1,15,27,47
"S1-15-28-44",0.470942556858063,1,15,28,44
"S1-15-28-45",0.549786925315857,1,15,28,45
"S1-15-28-46",0.284654885530472,1,15,28,46
"S1-16-16-42",0.70207267999649,1,16,16,42
"S1-16-16-43",0.31143656373024,1,16,16,43
"S1-16-16-44",0.724542558193207,1,16,16,44
"S1-16-16-46",0.639019072055817,1,16,16,46
"S1-16-16-47",0.799873232841492,1,16,16,47
"S1-16-16-48",0.465959995985031,1,16,16,48
"S1-16-17-38",0.211234524846077,1,16,17,38
"S1-16-17-42",0.666551291942596,1,16,17,42
"S1-16-17-43",0.73726624250412,1,16,17,43
"S1-16-17-44",0.650723993778229,1,16,17,44
"S1-16-17-45",0.458493769168854,1,16,17,45
"S1-16-17-46",0.562260985374451,1,16,17,46
"S1-16-17-47",0.848600447177887,1,16,17,47
"S1-16-17-48",0.659841001033783,1,16,17,48
"S1-16-18-38",0.31929674744606,1,16,18,38
"S1-16-18-39",0.354750424623489,1,16,18,39
"S1-16-18-42",0.889474511146545,1,16,18,42
"S1-16-18-43",0.836794435977936,1,16,18,43
"S1-16-18-44",0.507667303085327,1,16,18,44
"S1-16-18-47",0.445946127176285,1,16,18,47
"S1-16-18-48",0.423997581005096,1,16,18,48
"S1-16-19-35",0.314054250717163,1,16,19,35
"S1-16-19-37",0.317426383495331,1,16,19,37
"S1-16-19-38",0.431401252746582,1,16,19,38
"S1-16-19-42",0.944902718067169,1,16,19,42
"S1-16-19-43",0.785423696041107,1,16,19,43
"S1-16-19-44",0.785616278648376,1,16,19,44
"S1-16-19-45",0.979413092136383,1,16,19,45
"S1-16-19-46",0.517616987228394,1,16,19,46
"S1-16-19-48",0.346416115760803,1,16,19,48
"S1-16-19-49",0.4480841755867,1,16,19,49
"S1-16-19-51",0.271225452423096,1,16,19,51
"S1-16-20-37",0.34339439868927,1,16,20,37
"S1-16-20-38",0.462652653455734,1,16,20,38
"S1-16-20-40",0.508425235748291,1,16,20,40
"S1-16-20-41",0.628657877445221,1,16,20,41
"S1-16-20-45",1.40758442878723,1,16,20,45
"S1-16-20-46",1.09704875946045,1,16,20,46
"S1-16-20-48",0.259510308504105,1,16,20,48
"S1-16-20-49",0.437936693429947,1,16,20,49
"S1-16-20-51",0.206968531012535,1,16,20,51
"S1-16-21-36",0.271705001592636,1,16,21,36
"S1-16-21-37",0.42022231221199,1,16,21,37
"S1-16-21-38",0.436402827501297,1,16,21,38
"S1-16-21-41",0.232457965612411,1,16,21,41
"S1-16-21-42",0.63364052772522,1,16,21,42
"S1-16-21-43",0.91156017780304,1,16,21,43
"S1-16-21-44",0.647070944309235,1,16,21,44
"S1-16-21-45",0.853699147701263,1,16,21,45
"S1-16-21-46",0.639841794967651,1,16,21,46
"S1-16-21-48",0.35036164522171,1,16,21,48
"S1-16-21-49",0.57815408706665,1,16,21,49
"S1-16-21-50",0.36515137553215,1,16,21,50
"S1-16-22-43",0.386214345693588,1,16,22,43
"S1-16-22-48",0.521436870098114,1,16,22,48
"S1-16-22-49",0.655422985553741,1,16,22,49
"S1-16-22-50",0.462693512439728,1,16,22,50
"S1-16-23-41",0.334419131278992,1,16,23,41
"S1-16-23-43",0.370832562446594,1,16,23,43
"S1-16-23-44",0.205402940511703,1,16,23,44
"S1-16-23-45",0.407688915729523,1,16,23,45
"S1-16-23-46",0.603784441947937,1,16,23,46
"S1-16-23-47",0.256772994995117,1,16,23,47
"S1-16-24-41",0.454719483852386,1,16,24,41
"S1-16-24-43",0.234380498528481,1,16,24,43
"S1-16-24-45",0.833239853382111,1,16,24,45
"S1-16-24-46",1.00712156295776,1,16,24,46
"S1-16-24-47",0.845460772514343,1,16,24,47
"S1-16-24-48",0.4165218770504,1,16,24,48
"S1-16-24-49",0.3150494992733,1,16,24,49
"S1-16-25-41",0.403511434793472,1,16,25,41
"S1-16-25-42",0.509863913059235,1,16,25,42
"S1-16-25-45",0.782955050468445,1,16,25,45
"S1-16-25-46",0.99767929315567,1,16,25,46
"S1-16-25-47",0.756886303424835,1,16,25,47
"S1-16-25-49",0.3826944231987,1,16,25,49
"S1-16-26-41",0.46950975060463,1,16,26,41
"S1-16-26-43",0.40013325214386,1,16,26,43
"S1-16-26-44",0.248903498053551,1,16,26,44
"S1-16-26-45",0.647301912307739,1,16,26,45
"S1-16-26-46",0.592470467090607,1,16,26,46
"S1-16-27-41",0.256880462169647,1,16,27,41
"S1-16-27-42",0.510993301868439,1,16,27,42
"S1-16-27-43",0.542012572288513,1,16,27,43
"S1-16-27-44",0.500606656074524,1,16,27,44
"S1-16-27-45",0.641203582286835,1,16,27,45
"S1-16-27-46",0.503941893577576,1,16,27,46
"S1-16-27-47",0.209085896611214,1,16,27,47
"S1-16-28-42",0.208155170083046,1,16,28,42
"S1-16-28-43",0.301754385232925,1,16,28,43
"S1-16-28-44",0.322195529937744,1,16,28,44
"S1-16-28-45",0.262022882699966,1,16,28,45
"S1-16-31-32",0.248117357492447,1,16,31,32
"S1-17-15-39",0.508237063884735,1,17,15,39
"S1-17-15-42",0.508129775524139,1,17,15,42
"S1-17-15-43",0.421623110771179,1,17,15,43
"S1-17-15-44",0.422725588083267,1,17,15,44
"S1-17-15-45",0.731762826442719,1,17,15,45
"S1-17-15-47",0.583689749240875,1,17,15,47
"S1-17-15-48",0.400718957185745,1,17,15,48
"S1-17-15-49",0.40025794506073,1,17,15,49
"S1-17-16-36",0.244332686066628,1,17,16,36
"S1-17-16-39",0.483094334602356,1,17,16,39
"S1-17-16-42",0.457188069820404,1,17,16,42
