"architecture","contrast","metric","subj_id","score","rank","display_name"
"alexnet","CNN","crsa","1",0.331594702239299,2,"AlexNet"
"alexnet","CNN","crsa","2",0.339760823314873,2,"AlexNet"
"alexnet","CNN","crsa","5",0.35702451880588,2,"AlexNet"
"alexnet","CNN","crsa","7",0.32491977560077,2,"AlexNet"
"coat_lite_tiny","Transformer","crsa","1",0.318727166983814,14,"CoaT-Lite-Tiny"
"coat_lite_tiny","Transformer","crsa","2",0.324104506834612,14,"CoaT-Lite-Tiny"
"coat_lite_tiny","Transformer","crsa","5",0.332994412302476,14,"CoaT-Lite-Tiny"
"coat_lite_tiny","Transformer","crsa","7",0.315786410133053,14,"CoaT-Lite-Tiny"
"convnext_base","CNN","crsa","1",0.295200491224175,19,"ConvNext-B"
"convnext_base","CNN","crsa","2",0.301788200624782,19,"ConvNext-B"
"convnext_base","CNN","crsa","5",0.305329882868694,19,"ConvNext-B"
"convnext_base","CNN","crsa","7",0.291163232108141,19,"ConvNext-B"
"convnext_large","CNN","crsa","1",0.247228954809176,4,"ConvNext-L"
"convnext_large","CNN","crsa","2",0.247658552299862,4,"ConvNext-L"
"convnext_large","CNN","crsa","5",0.23803315139362,4,"ConvNext-L"
"convnext_large","CNN","crsa","7",0.23967578116477,4,"ConvNext-L"
"crossvit_base_240","Transformer","crsa","1",0.316919711114183,7,"CrossViT-B"
"crossvit_base_240","Transformer","crsa","7",0.304041761992953,7,"CrossViT-B"
"crossvit_base_240","Transformer","crsa","2",0.310821960754933,7,"CrossViT-B"
"crossvit_base_240","Transformer","crsa","5",0.32736948924311,7,"CrossViT-B"
"cspresnet50","CNN","crsa","1",0.396028960916897,23,"CSP-ResNet50"
"cspresnet50","CNN","crsa","2",0.412936023362387,23,"CSP-ResNet50"
"cspresnet50","CNN","crsa","5",0.410958434105047,23,"CSP-ResNet50"
"cspresnet50","CNN","crsa","7",0.378783617442283,23,"CSP-ResNet50"
"deit_base_patch16_224","Transformer","crsa","1",0.308448526807149,4,"DeiT-B-P16-224"
"deit_base_patch16_224","Transformer","crsa","2",0.31230714321555,4,"DeiT-B-P16-224"
"deit_base_patch16_224","Transformer","crsa","5",0.322133405226109,4,"DeiT-B-P16-224"
"deit_base_patch16_224","Transformer","crsa","7",0.294210259653024,4,"DeiT-B-P16-224"
"densenet121","CNN","crsa","1",0.373566382755989,12,"DenseNet121"
"densenet121","CNN","crsa","2",0.374989998644328,12,"DenseNet121"
"densenet121","CNN","crsa","7",0.348048218575296,12,"DenseNet121"
"densenet121","CNN","crsa","5",0.378646517771673,12,"DenseNet121"
"dla34","CNN","crsa","1",0.357585517937047,9,"DLA34"
"dla34","CNN","crsa","2",0.369286349579634,9,"DLA34"
"dla34","CNN","crsa","5",0.369581805995319,9,"DLA34"
"dla34","CNN","crsa","7",0.338580643533372,9,"DLA34"
"eca_nfnet_l0","CNN","crsa","2",0.363289629745655,28,"ECA-NFNeT-L0"
"eca_nfnet_l0","CNN","crsa","1",0.402067371287909,28,"ECA-NFNeT-L0"
"eca_nfnet_l0","CNN","crsa","5",0.444960642079094,28,"ECA-NFNeT-L0"
"eca_nfnet_l0","CNN","crsa","7",0.393507027077792,28,"ECA-NFNeT-L0"
"efficientnet_b1","CNN","crsa","1",0.420319796568483,33,"EfficientNet-B1"
"efficientnet_b1","CNN","crsa","2",0.435412717334274,33,"EfficientNet-B1"
"efficientnet_b1","CNN","crsa","5",0.450258898754139,33,"EfficientNet-B1"
"efficientnet_b1","CNN","crsa","7",0.383489743682111,33,"EfficientNet-B1"
"efficientnet_b3","CNN","crsa","1",0.425457873005272,26,"EfficientNet-B3"
"efficientnet_b3","CNN","crsa","2",0.438872093892364,26,"EfficientNet-B3"
"efficientnet_b3","CNN","crsa","5",0.46041871039468,26,"EfficientNet-B3"
"efficientnet_b3","CNN","crsa","7",0.397582713973944,26,"EfficientNet-B3"
"ghostnet_100","CNN","crsa","2",0.400622397500626,20,"GhostNet100"
"ghostnet_100","CNN","crsa","5",0.423444856646278,20,"GhostNet100"
"ghostnet_100","CNN","crsa","7",0.370959249456358,20,"GhostNet100"
"ghostnet_100","CNN","crsa","1",0.399053860400128,20,"GhostNet100"
"gmixer_24_224","CNN","crsa","1",0.343716208332692,29,"GMixer-24"
"gmixer_24_224","CNN","crsa","2",0.351204439085185,29,"GMixer-24"
"gmixer_24_224","CNN","crsa","5",0.3505353834849,29,"GMixer-24"
"gmixer_24_224","CNN","crsa","7",0.329096280095714,29,"GMixer-24"
"gmlp_s16_224","CNN","crsa","1",0.397967387688898,32,"GMLP-S16"
"gmlp_s16_224","CNN","crsa","2",0.408265945250997,32,"GMLP-S16"
"gmlp_s16_224","CNN","crsa","5",0.421807325672799,32,"GMLP-S16"
"gmlp_s16_224","CNN","crsa","7",0.380144827532964,32,"GMLP-S16"
"googlenet","CNN","crsa","1",0.372691126760723,14,"GoogleNet"
"googlenet","CNN","crsa","2",0.383592952711192,14,"GoogleNet"
"googlenet","CNN","crsa","5",0.392266722148255,14,"GoogleNet"
"googlenet","CNN","crsa","7",0.358188657784703,14,"GoogleNet"
"hardcorenas_a","CNN","crsa","2",0.42655769134214,30,"HardCoreNAS-A"
"hardcorenas_a","CNN","crsa","5",0.445047645628821,30,"HardCoreNAS-A"
"hardcorenas_a","CNN","crsa","7",0.395502132113469,30,"HardCoreNAS-A"
"hardcorenas_a","CNN","crsa","1",0.420590979822577,30,"HardCoreNAS-A"
"hardcorenas_f","CNN","crsa","1",0.422215620602808,31,"HardCoreNAS-F"
"hardcorenas_f","CNN","crsa","2",0.440642701027818,31,"HardCoreNAS-F"
"hardcorenas_f","CNN","crsa","5",0.470303125903536,31,"HardCoreNAS-F"
"hardcorenas_f","CNN","crsa","7",0.408649839625413,31,"HardCoreNAS-F"
"inception_v3","CNN","crsa","1",0.411289476468701,17,"Inception-V3"
"inception_v3","CNN","crsa","2",0.425805001323295,17,"Inception-V3"
"inception_v3","CNN","crsa","5",0.434049548372486,17,"Inception-V3"
"inception_v3","CNN","crsa","7",0.395337136716131,17,"Inception-V3"
"jx_nest_tiny","Transformer","crsa","5",0.326825131409838,13,"JX-NesT-Tiny"
"jx_nest_tiny","Transformer","crsa","7",0.314754433697332,13,"JX-NesT-Tiny"
"jx_nest_tiny","Transformer","crsa","1",0.315092680371177,13,"JX-NesT-Tiny"
"jx_nest_tiny","Transformer","crsa","2",0.3206033991954,13,"JX-NesT-Tiny"
"levit_128","Transformer","crsa","1",0.414251087143036,20,"LeViT128"
"levit_128","Transformer","crsa","2",0.436677221163039,20,"LeViT128"
"levit_128","Transformer","crsa","5",0.445955852974157,20,"LeViT128"
"levit_128","Transformer","crsa","7",0.402145859470412,20,"LeViT128"
"mnasnet1_0","CNN","crsa","2",0.365213936642752,15,"MNASNet1.0"
"mnasnet1_0","CNN","crsa","1",0.376337065451063,15,"MNASNet1.0"
"mnasnet1_0","CNN","crsa","5",0.380815320355623,15,"MNASNet1.0"
"mnasnet1_0","CNN","crsa","7",0.353537033174167,15,"MNASNet1.0"
"mobilenet_v2","CNN","crsa","1",0.367147607365298,21,"MobileNet-V2"
"mobilenet_v2","CNN","crsa","2",0.367274376875816,21,"MobileNet-V2"
"mobilenet_v2","CNN","crsa","5",0.358659149269375,21,"MobileNet-V2"
"mobilenet_v2","CNN","crsa","7",0.338200796419324,21,"MobileNet-V2"
"mobilenetv3_large_100","CNN","crsa","2",0.40773731198514,22,"MobileNet-V3-Large"
