"model","display_name","train_task","contrast","subj_id","metric","score","rank"
"autoencoding","Autoencoder","taskonomy","Taskonomy","1","crsa",0.0798085703981504,1
"autoencoding","Autoencoder","taskonomy","Taskonomy","2","crsa",0.0618345764475788,1
"autoencoding","Autoencoder","taskonomy","Taskonomy","5","crsa",0.0783240559021164,1
"autoencoding","Autoencoder","taskonomy","Taskonomy","7","crsa",0.0867506543126553,1
"class_object","Object Classification","taskonomy","Taskonomy","1","crsa",0.17247986280937,25
"class_object","Object Classification","taskonomy","Taskonomy","2","crsa",0.19608759690345,25
"class_object","Object Classification","taskonomy","Taskonomy","5","crsa",0.202066253257215,25
"class_object","Object Classification","taskonomy","Taskonomy","7","crsa",0.186322929057005,25
"class_scene","Scene Classification","taskonomy","Taskonomy","1","crsa",0.141849096991062,24
"class_scene","Scene Classification","taskonomy","Taskonomy","2","crsa",0.143195626397001,24
"class_scene","Scene Classification","taskonomy","Taskonomy","5","crsa",0.157794842433345,24
"class_scene","Scene Classification","taskonomy","Taskonomy","7","crsa",0.143375069665877,24
"curvature","Curvatures","taskonomy","Taskonomy","5","crsa",0.130152478621806,16
"curvature","Curvatures","taskonomy","Taskonomy","7","crsa",0.130300537849433,16
"curvature","Curvatures","taskonomy","Taskonomy","1","crsa",0.128710082007411,16
"curvature","Curvatures","taskonomy","Taskonomy","2","crsa",0.13849225400296,16
"denoising","Denoising","taskonomy","Taskonomy","1","crsa",0.0644323263282379,4
"denoising","Denoising","taskonomy","Taskonomy","2","crsa",0.0547475968291475,4
"denoising","Denoising","taskonomy","Taskonomy","5","crsa",0.067399772504334,4
"denoising","Denoising","taskonomy","Taskonomy","7","crsa",0.0592623827242431,4
"depth_euclidean","Euclidean Depth","taskonomy","Taskonomy","1","crsa",0.164880585417773,22
"depth_euclidean","Euclidean Depth","taskonomy","Taskonomy","2","crsa",0.172254839008399,22
"depth_euclidean","Euclidean Depth","taskonomy","Taskonomy","5","crsa",0.180179725507269,22
"depth_euclidean","Euclidean Depth","taskonomy","Taskonomy","7","crsa",0.175978288527107,22
"depth_zbuffer","Z-Buffer Depth","taskonomy","Taskonomy","1","crsa",0.127058499749042,18
"depth_zbuffer","Z-Buffer Depth","taskonomy","Taskonomy","5","crsa",0.134381967807397,18
"depth_zbuffer","Z-Buffer Depth","taskonomy","Taskonomy","7","crsa",0.126941700784067,18
"depth_zbuffer","Z-Buffer Depth","taskonomy","Taskonomy","2","crsa",0.138798032641742,18
"edge_occlusion","Occlusion Edges","taskonomy","Taskonomy","2","crsa",0.160108624822571,20
"edge_occlusion","Occlusion Edges","taskonomy","Taskonomy","5","crsa",0.170998404990858,20
"edge_occlusion","Occlusion Edges","taskonomy","Taskonomy","7","crsa",0.15493657492493,20
"edge_occlusion","Occlusion Edges","taskonomy","Taskonomy","1","crsa",0.161010562499583,20
"edge_texture","Texture Edges","taskonomy","Taskonomy","1","crsa",0.0687411305627702,7
"edge_texture","Texture Edges","taskonomy","Taskonomy","5","crsa",0.0509887925062109,7
"edge_texture","Texture Edges","taskonomy","Taskonomy","7","crsa",0.0703297984816995,7
"edge_texture","Texture Edges","taskonomy","Taskonomy","2","crsa",0.0630238579431022,7
"egomotion","Egomotion","taskonomy","Taskonomy","2","crsa",0.0789495998312948,11
"egomotion","Egomotion","taskonomy","Taskonomy","5","crsa",0.0912730995596825,11
"egomotion","Egomotion","taskonomy","Taskonomy","1","crsa",0.0889559488497313,11
"egomotion","Egomotion","taskonomy","Taskonomy","7","crsa",0.0903574898120972,11
"fixated_pose","Camera Pose (Fixated)","taskonomy","Taskonomy","1","crsa",0.106456806497491,13
"fixated_pose","Camera Pose (Fixated)","taskonomy","Taskonomy","2","crsa",0.0884818680848499,13
"fixated_pose","Camera Pose (Fixated)","taskonomy","Taskonomy","5","crsa",0.103123074170248,13
"fixated_pose","Camera Pose (Fixated)","taskonomy","Taskonomy","7","crsa",0.0976431825333365,13
"inpainting","Inpainting","taskonomy","Taskonomy","1","crsa",0.0979347529283009,10
"inpainting","Inpainting","taskonomy","Taskonomy","2","crsa",0.0822014170570012,10
"inpainting","Inpainting","taskonomy","Taskonomy","5","crsa",0.100368530430718,10
"inpainting","Inpainting","taskonomy","Taskonomy","7","crsa",0.0995606344408804,10
"jigsaw","Jigsaw","taskonomy","Taskonomy","1","crsa",0.0525289474831485,6
"jigsaw","Jigsaw","taskonomy","Taskonomy","2","crsa",0.0705750187786288,6
"jigsaw","Jigsaw","taskonomy","Taskonomy","5","crsa",0.0685001069644164,6
"jigsaw","Jigsaw","taskonomy","Taskonomy","7","crsa",0.0565234497353443,6
"keypoints2d","2D Keypoints","taskonomy","Taskonomy","2","crsa",0.0577428847468134,2
"keypoints2d","2D Keypoints","taskonomy","Taskonomy","5","crsa",0.0634806136116673,2
"keypoints2d","2D Keypoints","taskonomy","Taskonomy","7","crsa",0.0559579350660625,2
"keypoints2d","2D Keypoints","taskonomy","Taskonomy","1","crsa",0.0613313184966844,2
"keypoints3d","3D Keypoints","taskonomy","Taskonomy","1","crsa",0.166121074784289,23
"keypoints3d","3D Keypoints","taskonomy","Taskonomy","2","crsa",0.164164369219729,23
"keypoints3d","3D Keypoints","taskonomy","Taskonomy","5","crsa",0.160468228836283,23
"keypoints3d","3D Keypoints","taskonomy","Taskonomy","7","crsa",0.168731392554381,23
"nonfixated_pose","Camera Pose (Nonfixated)","taskonomy","Taskonomy","2","crsa",0.082047805936911,5
"nonfixated_pose","Camera Pose (Nonfixated)","taskonomy","Taskonomy","5","crsa",0.0992348425429717,5
"nonfixated_pose","Camera Pose (Nonfixated)","taskonomy","Taskonomy","7","crsa",0.0949340796623943,5
"nonfixated_pose","Camera Pose (Nonfixated)","taskonomy","Taskonomy","1","crsa",0.103719612628577,5
"normal","Surface Normals","taskonomy","Taskonomy","1","crsa",0.150390532951453,19
"normal","Surface Normals","taskonomy","Taskonomy","2","crsa",0.152793627711587,19
"normal","Surface Normals","taskonomy","Taskonomy","5","crsa",0.156514860412413,19
"normal","Surface Normals","taskonomy","Taskonomy","7","crsa",0.154591211966798,19
"point_matching","Point Matching","taskonomy","Taskonomy","1","crsa",0.0876104660453296,12
"point_matching","Point Matching","taskonomy","Taskonomy","7","crsa",0.0948775603476464,12
"point_matching","Point Matching","taskonomy","Taskonomy","2","crsa",0.0875535222331585,12
"point_matching","Point Matching","taskonomy","Taskonomy","5","crsa",0.103705598839053,12
"random_weights","Random Weights","taskonomy","Taskonomy","1","crsa",0.0396485296916399,3
"random_weights","Random Weights","taskonomy","Taskonomy","2","crsa",0.0357418683333609,3
"random_weights","Random Weights","taskonomy","Taskonomy","5","crsa",0.0387657931644997,3
"random_weights","Random Weights","taskonomy","Taskonomy","7","crsa",0.0325173056563744,3
"reshading","Reshading","taskonomy","Taskonomy","1","crsa",0.15827469366988,21
"reshading","Reshading","taskonomy","Taskonomy","2","crsa",0.158158397453388,21
"reshading","Reshading","taskonomy","Taskonomy","5","crsa",0.170656649066342,21
"reshading","Reshading","taskonomy","Taskonomy","7","crsa",0.157119360635913,21
"room_layout","Room Layout","taskonomy","Taskonomy","1","crsa",0.132679559865659,14
"room_layout","Room Layout","taskonomy","Taskonomy","5","crsa",0.147830302883474,14
"room_layout","Room Layout","taskonomy","Taskonomy","7","crsa",0.132060806917903,14
"room_layout","Room Layout","taskonomy","Taskonomy","2","crsa",0.135719010852397,14
"segment_semantic","Semantic Segmentation","taskonomy","Taskonomy","1","crsa",0.144205207906607,17
"segment_semantic","Semantic Segmentation","taskonomy","Taskonomy","2","crsa",0.143989142911859,17
"segment_semantic","Semantic Segmentation","taskonomy","Taskonomy","5","crsa",0.144180317678145,17
"segment_semantic","Semantic Segmentation","taskonomy","Taskonomy","7","crsa",0.144749836706988,17
"segment_unsup25d","Unsupervised 2.5D Segmentation","taskonomy","Taskonomy","1","crsa",0.163466844512209,15
"segment_unsup25d","Unsupervised 2.5D Segmentation","taskonomy","Taskonomy","2","crsa",0.16525509456274,15
"segment_unsup25d","Unsupervised 2.5D Segmentation","taskonomy","Taskonomy","5","crsa",0.181975662393425,15
"segment_unsup25d","Unsupervised 2.5D Segmentation","taskonomy","Taskonomy","7","crsa",0.173590012832304,15
"segment_unsup2d","Unsupervised 2D Segmentation","taskonomy","Taskonomy","1","crsa",0.0871762964417026,8
"segment_unsup2d","Unsupervised 2D Segmentation","taskonomy","Taskonomy","2","crsa",0.0782931601179139,8
"segment_unsup2d","Unsupervised 2D Segmentation","taskonomy","Taskonomy","5","crsa",0.0689270820318981,8
"segment_unsup2d","Unsupervised 2D Segmentation","taskonomy","Taskonomy","7","crsa",0.0891756362263992,8
"vanishing_point","Vanishing Point","taskonomy","Taskonomy","2","crsa",0.0909393562535111,9
"vanishing_point","Vanishing Point","taskonomy","Taskonomy","1","crsa",0.0734088629412944,9
"vanishing_point","Vanishing Point","taskonomy","Taskonomy","5","crsa",0.0962479603499223,9
"vanishing_point","Vanishing Point","taskonomy","Taskonomy","7","crsa",0.0901188879646751,9
"autoencoding","Autoencoder","taskonomy","Taskonomy","1","wrsa",0.0971951261645972,1
"autoencoding","Autoencoder","taskonomy","Taskonomy","2","wrsa",0.0938441388232237,1
"autoencoding","Autoencoder","taskonomy","Taskonomy","5","wrsa",0.109959424184285,1
"autoencoding","Autoencoder","taskonomy","Taskonomy","7","wrsa",0.111219371016309,1
"class_object","Object Classification","taskonomy","Taskonomy","1","wrsa",0.435041300688283,25
"class_object","Object Classification","taskonomy","Taskonomy","2","wrsa",0.433769793065362,25
"class_object","Object Classification","taskonomy","Taskonomy","7","wrsa",0.413122567665065,25
"class_object","Object Classification","taskonomy","Taskonomy","5","wrsa",0.460926709585022,25
"class_scene","Scene Classification","taskonomy","Taskonomy","1","wrsa",0.407356710607295,24
"class_scene","Scene Classification","taskonomy","Taskonomy","7","wrsa",0.407620953282288,24
