"contrast","display_name","metric","subj_id","score","rank","grand_mean","subj_mean"
"imagenet","ImageNet","crsa","1",0.273810557904146,1,0.216110608352946,0.210518062432828
"imagenet","ImageNet","crsa","2",0.274442212858538,1,0.216110608352946,0.221594307334714
"imagenet","ImageNet","crsa","5",0.269840274038952,1,0.216110608352946,0.228168276277083
"imagenet","ImageNet","crsa","7",0.270671185507696,1,0.216110608352946,0.20416178736716
"openimages","OpenImages","crsa","1",0.247843116209094,1,0.216110608352946,0.210518062432828
"openimages","OpenImages","crsa","2",0.252182798794709,1,0.216110608352946,0.221594307334714
"openimages","OpenImages","crsa","5",0.251375945205862,1,0.216110608352946,0.228168276277083
"openimages","OpenImages","crsa","7",0.246390105036578,1,0.216110608352946,0.20416178736716
"places256","Places256","crsa","2",0.243546221862585,1,0.216110608352946,0.221594307334714
"places256","Places256","crsa","5",0.25119497975946,1,0.216110608352946,0.228168276277083
"places256","Places256","crsa","1",0.233124921277986,1,0.216110608352946,0.210518062432828
"places256","Places256","crsa","7",0.239289005772242,1,0.216110608352946,0.20416178736716
"vggface2","VGGFace2","crsa","1",0.109663838020558,1,0.216110608352946,0.210518062432828
"vggface2","VGGFace2","crsa","2",0.0942711998959522,1,0.216110608352946,0.221594307334714
"vggface2","VGGFace2","crsa","5",0.0920312344075093,1,0.216110608352946,0.228168276277083
"vggface2","VGGFace2","crsa","7",0.10809213709527,1,0.216110608352946,0.20416178736716
"imagenet","ImageNet","wrsa","1",0.560299956444562,1,0.465686409361585,0.463592864548621
"imagenet","ImageNet","wrsa","2",0.559708321559238,1,0.465686409361585,0.479289270915311
"imagenet","ImageNet","wrsa","5",0.573901619806596,1,0.465686409361585,0.501124508565677
"imagenet","ImageNet","wrsa","7",0.552676108173696,1,0.465686409361585,0.418738993416732
"openimages","OpenImages","wrsa","2",0.515946048942264,1,0.465686409361585,0.479289270915311
"openimages","OpenImages","wrsa","1",0.525734476599636,1,0.465686409361585,0.463592864548621
"openimages","OpenImages","wrsa","5",0.515960478665774,1,0.465686409361585,0.501124508565677
"openimages","OpenImages","wrsa","7",0.50964980796015,1,0.465686409361585,0.418738993416732
"places256","Places256","wrsa","1",0.492880042468526,1,0.465686409361585,0.463592864548621
"places256","Places256","wrsa","2",0.501454867528443,1,0.465686409361585,0.479289270915311
"places256","Places256","wrsa","5",0.503271263254742,1,0.465686409361585,0.501124508565677
"places256","Places256","wrsa","7",0.48075291199625,1,0.465686409361585,0.418738993416732
"vggface2","VGGFace2","wrsa","5",0.26961227571923,1,0.465686409361585,0.501124508565677
"vggface2","VGGFace2","wrsa","7",0.319666809316244,1,0.465686409361585,0.418738993416732
"vggface2","VGGFace2","wrsa","1",0.283831161933617,1,0.465686409361585,0.463592864548621
"vggface2","VGGFace2","wrsa","2",0.285636399416398,1,0.465686409361585,0.479289270915311
