"model_string","display_name","metric","score","rank","training"
"mobilenetv3_large_100_random","MobileNet-V3-Large","CRSA",0.0092489510687265,223,"Untrained"
"inception_v3_random","Inception-V3","CRSA",0.0163388506084938,190,"Untrained"
"convmixer_768_32_random","ConvMixer-768-32","CRSA",0.0170526739869458,219,"Untrained"
"dla34_random","DLA34","CRSA",0.017972850515147,173,"Untrained"
"hardcorenas_f_random","HardCoreNAS-F","CRSA",0.0238783535503122,181,"Untrained"
"xcit_nano_12_p16_224_random","XCIT-N-12-P16","CRSA",0.0263711998049711,193,"Untrained"
"hardcorenas_a_random","HardCoreNAS-A","CRSA",0.0284509383735605,162,"Untrained"
"levit_128_random","LeViT128","CRSA",0.0316217223493079,210,"Untrained"
"semnasnet_100_random","SemNASNet100","CRSA",0.0324356048782161,215,"Untrained"
"resnet101_random","ResNet101","CRSA",0.0326738621175726,217,"Untrained"
"resnet152_random","ResNet152","CRSA",0.0354355937470488,221,"Untrained"
"random_weights_taskonomy","Random Weights","CRSA",0.0366683742114687,168,"Taskonomy"
"ghostnet_100_random","GhostNet100","CRSA",0.0370784391643127,182,"Untrained"
"xcit_nano_12_p8_224_random","XCIT-N-12-P8","CRSA",0.0377491098194409,163,"Untrained"
"regnetx_064_random","RegNetX-64","CRSA",0.0391958974096433,222,"Untrained"
"alexnet_random","AlexNet","CRSA",0.0393059297407748,165,"Untrained"
"resnet50_random","ResNet50","CRSA",0.03939422286886,214,"Untrained"
"vgg16_random","VGG16","CRSA",0.0395677042402297,171,"Untrained"
"shufflenet_v2_x1_0_random","ShuffleNet-V2-x1.0","CRSA",0.0405461169908239,224,"Untrained"
"cspresnet50_random","CSP-ResNet50","CRSA",0.0407835686810568,167,"Untrained"
"mobilenet_v2_random","MobileNet-V2","CRSA",0.0433733266514322,204,"Untrained"
"skresnext50_32x4d_random","SKResNext50-32x4D","CRSA",0.0435352188400316,164,"Untrained"
"resnet18_random","ResNet18","CRSA",0.0443841450982446,185,"Untrained"
"pit_ti_224_random","PiT-T-224","CRSA",0.0455926446336989,213,"Untrained"
"efficientnet_b1_random","EfficientNet-B1","CRSA",0.0485452543198814,218,"Untrained"
"seresnext50_32x4d_random","SEResNext50-32x4D","CRSA",0.049269782244452,180,"Untrained"
"vit_base_patch16_224_random","ViT-B-P16","CRSA",0.0506194007793982,183,"Untrained"
"vit_large_patch16_224_random","ViT-L-P16","CRSA",0.0519490638911131,170,"Untrained"
"regnety_064_random","RegNetY-64","CRSA",0.0521213467053496,179,"Untrained"
"vit_base_patch32_224_random","ViT-B-P32","CRSA",0.0523047757291328,176,"Untrained"
"jx_nest_tiny_random","JX-NesT-Tiny","CRSA",0.0525605904987183,154,"Untrained"
"crossvit_base_240_random","CrossViT-B","CRSA",0.0532017504662578,203,"Untrained"
"convit_base_random","ConViT-B","CRSA",0.0532574336407786,175,"Untrained"
"visformer_small_random","Visformer","CRSA",0.0533708803416315,169,"Untrained"
"deit_base_patch16_224_random","DeiT-B-P16-224","CRSA",0.0545362985766866,186,"Untrained"
"resmlp_12_224_random","ResMLP-12","CRSA",0.0552525635097467,196,"Untrained"
"googlenet_random","GoogleNet","CRSA",0.0564195073398748,157,"Untrained"
"densenet121_random","DenseNet121","CRSA",0.0566887004807191,166,"Untrained"
"poolformer_s36_random","PoolFormer-S36","CRSA",0.0574040880844803,211,"Untrained"
"resmlp_big_24_224_random","ResMLP-Big-24","CRSA",0.0580344527462001,205,"Untrained"
"resmlp_24_224_random","ResMLP-24","CRSA",0.0586939909081681,202,"Untrained"
"resmlp_36_224_random","ResMLP-36","CRSA",0.0589731723077557,201,"Untrained"
"keypoints2d_taskonomy","2D Keypoints","CRSA",0.0596281879803069,174,"Taskonomy"
"vit_tiny_patch16_224_random","ViT-T-P16","CRSA",0.0607946342274088,207,"Untrained"
"denoising_taskonomy","Denoising","CRSA",0.0614605195964906,161,"Taskonomy"
"jigsaw_taskonomy","Jigsaw","CRSA",0.0620318807403845,158,"Taskonomy"
"xception_random","XCeption","CRSA",0.0630226772371374,160,"Untrained"
"edge_texture_taskonomy","Texture Edges","CRSA",0.0632708948734457,156,"Taskonomy"
"swin_large_patch4_window7_224_random","Swin-L-P4-W7","CRSA",0.0636480882278038,178,"Untrained"
"gmlp_s16_224_random","GMLP-S16","CRSA",0.0646245104712275,187,"Untrained"
