"model_string","metric","score","effective_dimensions","training"
"mobilenetv3_large_100_random","CRSA",0.0092489510687265,41.643292908151,"Untrained"
"inception_v3_random","CRSA",0.0163388506084938,3.08810236460908,"Untrained"
"convmixer_768_32_random","CRSA",0.0170526739869458,11.4946758613964,"Untrained"
"dla34_random","CRSA",0.017972850515147,10.6555448013016,"Untrained"
"hardcorenas_f_random","CRSA",0.0238783535503122,1.22598567416187,"Untrained"
"xcit_nano_12_p16_224_random","CRSA",0.0263711998049711,1.23213766316881,"Untrained"
"hardcorenas_a_random","CRSA",0.0284509383735605,1.70406422526726,"Untrained"
"levit_128_random","CRSA",0.0316217223493079,1.23523676893835,"Untrained"
"semnasnet_100_random","CRSA",0.0324356048782161,17.4372428173144,"Untrained"
"resnet101_random","CRSA",0.0326738621175726,3.91299363484683,"Untrained"
"resnet152_random","CRSA",0.0354355937470488,3.06062655195828,"Untrained"
"random_weights_taskonomy","CRSA",0.0366683742114687,25.306011764893,"Taskonomy"
"ghostnet_100_random","CRSA",0.0370784391643127,1.37338719859353,"Untrained"
"xcit_nano_12_p8_224_random","CRSA",0.0377491098194409,1.93375904405301,"Untrained"
"regnetx_064_random","CRSA",0.0391958974096433,22.5497882973019,"Untrained"
"alexnet_random","CRSA",0.0393059297407748,8.81411003458734,"Untrained"
"resnet50_random","CRSA",0.03939422286886,5.19030817243131,"Untrained"
"vgg16_random","CRSA",0.0395677042402297,10.5366573014252,"Untrained"
"shufflenet_v2_x1_0_random","CRSA",0.0405461169908239,1.66969422337236,"Untrained"
"cspresnet50_random","CRSA",0.0407835686810568,25.2511107726524,"Untrained"
"mobilenet_v2_random","CRSA",0.0433733266514322,22.036104450052,"Untrained"
"skresnext50_32x4d_random","CRSA",0.0435352188400316,18.6674735473222,"Untrained"
"resnet18_random","CRSA",0.0443841450982446,7.95688624244778,"Untrained"
"pit_ti_224_random","CRSA",0.0455926446336989,5.0252894027191,"Untrained"
"efficientnet_b1_random","CRSA",0.0485452543198814,1.74308268900045,"Untrained"
"seresnext50_32x4d_random","CRSA",0.049269782244452,31.3454509499063,"Untrained"
"vit_base_patch16_224_random","CRSA",0.0506194007793982,22.2809314059147,"Untrained"
"vit_large_patch16_224_random","CRSA",0.0519490638911131,13.3191566980288,"Untrained"
"regnety_064_random","CRSA",0.0521213467053496,1.99148831192305,"Untrained"
"vit_base_patch32_224_random","CRSA",0.0523047757291328,25.0963095857248,"Untrained"
