"model1","model2","correlation","metric"
"convnext_large_classification","RegNet-64Gf-SEER-INFT_seer",0.411054413283377,"crsa"
"convnext_large_classification","ViT-B/32_clip",0.359557048893819,"crsa"
"convnext_large_classification","regnetx_064_classification",0.487358979295147,"crsa"
"convnext_large_classification","seresnext50_32x4d_classification",0.507958922551441,"crsa"
"convnext_large_classification","yolov5l_yolo",0.5757229621873,"crsa"
"convnext_large_classification","resnet152_classification",0.651029811145853,"crsa"
"convnext_large_classification","visformer_small_classification",0.728347611396693,"crsa"
"convnext_large_classification","mixer_l16_224_in21k_classification",0.430861560263268,"crsa"
"convnext_large_classification","dino_vitb16_selfsupervised",0.440785678062836,"crsa"
"convnext_large_classification","gmixer_24_224_classification",0.586338614768369,"crsa"
"convnext_large_classification","ResNet50-SimCLR_selfsupervised",0.49481727337161,"crsa"
"convnext_large_classification","convmixer_768_32_classification",0.607050728492318,"crsa"
"convnext_large_classification","vit_base_patch32_224_classification",0.539233207029821,"crsa"
"convnext_large_classification","vgg16_classification",0.502810371654237,"crsa"
"convnext_large_classification","googlenet_classification",0.659359562739547,"crsa"
"convnext_large_classification","vit_base_patch16_224_in21k_classification",0.39449333202829,"crsa"
"convnext_large_classification","hardcorenas_f_classification",0.476734525345796,"crsa"
"convnext_large_classification","ResNet50-PIRL_selfsupervised",0.485161061480207,"crsa"
"convnext_large_classification","ResNet50-DeepClusterV2-2x224+6x96_selfsupervised",0.691619074278562,"crsa"
"convnext_large_classification","dino_resnet50_selfsupervised",0.541292487236058,"crsa"
"convnext_large_classification","mobilenet_v2_classification",0.580931181664176,"crsa"
"convnext_large_classification","pit_b_224_classification",0.739920731015643,"crsa"
"convnext_large_classification","mixer_b16_224_in21k_classification",0.440978258749853,"crsa"
"convnext_large_classification","RN50_clip",0.582668817033335,"crsa"
"convnext_large_classification","BiT-Expert-ResNet-V2-Mammal_bit_expert",0.633191346673096,"crsa"
"convnext_large_classification","RegNet-64Gf-SEER_seer",0.561094136208225,"crsa"
"convnext_large_classification","mixer_l16_224_classification",0.449957326114258,"crsa"
"convnext_large_classification","BiT-Expert-ResNet-V2-Animal_bit_expert",0.644964253541584,"crsa"
"convnext_large_classification","densenet121_classification",0.687181817589136,"crsa"
"convnext_large_classification","ViT-S-CLIP_slip",0.32410171916896,"crsa"
"convnext_large_classification","BiT-Expert-ResNet-V2-Object_bit_expert",0.666148787095952,"crsa"
"convnext_large_classification","tnt_s_patch16_224_classification",0.543346827651548,"crsa"
"convnext_large_classification","swin_base_patch4_window7_224_in22k_classification",0.615806207210616,"crsa"
"convnext_large_classification","ViT-B-SimCLR_slip",0.342298916093145,"crsa"
"convnext_large_classification","efficientnet_b1_classification",0.646963718100778,"crsa"
"convnext_large_classification","RegNet-32Gf-SEER_seer",0.564827033350231,"crsa"
"convnext_large_classification","vit_base_patch32_224_in21k_classification",0.374378198748828,"crsa"
"convnext_large_classification","ghostnet_100_classification",0.511215432145224,"crsa"
"convnext_large_classification","jx_nest_tiny_classification",0.629659431932613,"crsa"
"convnext_large_classification","ViT-B/16_clip",0.351718407645227,"crsa"
"convnext_large_classification","mask_rcnn_R_50_FPN_3x_segmentation",0.655795391504582,"crsa"
"convnext_large_classification","ViT-L-SLIP-CC12M_slip",0.500037483926008,"crsa"
"convnext_large_classification","ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised",0.634416506703505,"crsa"
"convnext_large_classification","coat_lite_tiny_classification",0.686357843226963,"crsa"
"convnext_large_classification","vit_small_patch32_224_in21k_classification",0.420423296943169,"crsa"
"convnext_large_classification","resnet18_classification",0.614045997626122,"crsa"
"convnext_large_classification","convnext_base_in22k_classification",0.722402982264915,"crsa"
"convnext_large_classification","mixer_b16_224_classification",0.574140885282832,"crsa"
"convnext_large_classification","resmlp_big_24_224_classification",0.522645265355715,"crsa"
"convnext_large_classification","mobilenetv3_large_100_classification",0.533579075958081,"crsa"
"convnext_large_classification","BiT-Expert-ResNet-V2-Abstraction_bit_expert",0.597147876514687,"crsa"
"convnext_large_classification","BiT-Expert-ResNet-V2-Relation_bit_expert",0.63877211831281,"crsa"
"convnext_large_classification","xception_classification",0.691592149566537,"crsa"
"convnext_large_classification","efficientnet_b3_classification",0.431206189198524,"crsa"
"convnext_large_classification","ResNet50-BarlowTwins-BS2048_selfsupervised",0.229066454703232,"crsa"
"convnext_large_classification","resmlp_36_224_classification",0.592995029118088,"crsa"
"convnext_large_classification","nf_resnet50_classification",0.596460054126356,"crsa"
"convnext_large_classification","levit_128_classification",0.607775838822315,"crsa"
