"model_string","V1","V2","group","experiment","metric","focus"
"convnext_large_classification",0.0124127360107945,0.162169361948862,"Convolutional","Architecture","CRSA","In-Focus"
"RegNet-64Gf-SEER-INFT_seer",-0.147228010308856,-0.0102405824921341,NA,"Architecture","CRSA","Out-of-Focus"
"ViT-B/32_clip",-0.121828785207745,-0.0814003420720694,NA,"Architecture","CRSA","Out-of-Focus"
"regnetx_064_classification",0.1174561144559,0.172571478947154,"Convolutional","Architecture","CRSA","In-Focus"
"seresnext50_32x4d_classification",-0.197728572759988,-0.0241753992503425,"Convolutional","Architecture","CRSA","In-Focus"
"yolov5l_yolo",-0.0292974285987252,0.161884854937374,NA,"Architecture","CRSA","Out-of-Focus"
"resnet152_classification",0.127762133899932,0.250788476679461,"Convolutional","Architecture","CRSA","In-Focus"
"visformer_small_classification",0.113608877381452,0.167611495715234,"Transformer","Architecture","CRSA","In-Focus"
"mixer_l16_224_in21k_classification",-0.0898209515777009,-0.0897695902470901,NA,"Architecture","CRSA","Out-of-Focus"
"DPT_Hybrid_monoculardepth",-0.0623739667136253,0.127522761835307,NA,"Architecture","CRSA","Out-of-Focus"
"dino_vitb16_selfsupervised",-0.184311502432654,-0.143918120602532,NA,"Architecture","CRSA","Out-of-Focus"
"gmixer_24_224_classification",-0.0784414657494638,0.113141882446034,"Convolutional","Architecture","CRSA","In-Focus"
"ResNet50-SimCLR_selfsupervised",-0.191295729773542,-0.182340639140476,NA,"Architecture","CRSA","Out-of-Focus"
"convmixer_768_32_classification",-0.00271664242703529,0.140941234717989,NA,"Architecture","CRSA","Out-of-Focus"
"vit_base_patch32_224_classification",-0.181348311978716,-0.00993470185774625,"Transformer","Architecture","CRSA","In-Focus"
"vgg16_classification",-0.204988415141881,-0.0776680231932386,"Convolutional","Architecture","CRSA","In-Focus"
"vanishing_point_taskonomy",0.46405818856343,-0.0580783280031057,NA,"Architecture","CRSA","Out-of-Focus"
"googlenet_classification",-0.0676786399305418,0.049699300540399,"Convolutional","Architecture","CRSA","In-Focus"
"nonfixated_pose_taskonomy",0.439426369192416,-0.304058752995296,NA,"Architecture","CRSA","Out-of-Focus"
"vit_base_patch16_224_in21k_classification",-0.169928233683741,-0.0280272911333576,NA,"Architecture","CRSA","Out-of-Focus"
"hardcorenas_f_classification",-0.239477687565286,-0.0090272492065359,"Convolutional","Architecture","CRSA","In-Focus"
