"model_layer","model_layer_index","effective_dimensions","dataset"
"ReLU-2",1,4.91273193195458,"NSD-Shared-1000"
"ReLU-4",2,7.4884032117565,"NSD-Shared-1000"
"ReLU-6",3,16.9856183099814,"NSD-Shared-1000"
"ReLU-8",4,22.3265904331467,"NSD-Shared-1000"
"ReLU-10",5,35.8630704357777,"NSD-Shared-1000"
"ReLU-12",6,18.3573571598279,"NSD-Shared-1000"
"ReLU-14",7,37.7440876122841,"NSD-Shared-1000"
"ReLU-16",8,87.0714650916968,"NSD-Shared-1000"
"ReLU-2",1,4.51553186447704,"ImageNet1K-10000"
"ReLU-4",2,6.2848143382332,"ImageNet1K-10000"
"ReLU-6",3,15.0175083295615,"ImageNet1K-10000"
"ReLU-8",4,22.7916305182035,"ImageNet1K-10000"
"ReLU-10",5,40.52720872389,"ImageNet1K-10000"
"ReLU-12",6,20.5779743609444,"ImageNet1K-10000"
"ReLU-14",7,51.7431737612425,"ImageNet1K-10000"
"ReLU-16",8,116.84939870944,"ImageNet1K-10000"
