"model_string","training","depth_bin","metric","score"
"alexnet_classification","Trained",0.55,"cRSA",0.28131916019861
"alexnet_classification","Trained",0.55,"veRSA",0.581272352519194
"alexnet_classification","Trained",0.6,"cRSA",0.332235550132679
"alexnet_classification","Trained",0.6,"veRSA",0.619264760262436
"alexnet_classification","Trained",0.75,"cRSA",0.341049860278934
"alexnet_classification","Trained",0.75,"veRSA",0.623209941324717
"alexnet_classification","Trained",0.8,"cRSA",0.332582068932902
"alexnet_classification","Trained",0.8,"veRSA",0.640747342731566
"alexnet_classification","Trained",0.9,"cRSA",0.315107626306296
"alexnet_classification","Trained",0.9,"veRSA",0.624432846406563
"alexnet_classification","Trained",0.95,"cRSA",0.334169430239725
"alexnet_classification","Trained",0.95,"veRSA",0.637919157445006
"alexnet_classification","Trained",1,"cRSA",0.308923586856785
"alexnet_classification","Trained",1,"veRSA",0.633338068979938
"alexnet_random","Untrained",0.55,"cRSA",0.0407320654566997
"alexnet_random","Untrained",0.55,"veRSA",0.138680667724637
"alexnet_random","Untrained",0.6,"cRSA",0.0417991125620862
"alexnet_random","Untrained",0.6,"veRSA",0.158951304062916
"alexnet_random","Untrained",0.75,"cRSA",0.0393195439193952
"alexnet_random","Untrained",0.75,"veRSA",0.150117120819312
"alexnet_random","Untrained",0.8,"cRSA",0.0397984367167857
"alexnet_random","Untrained",0.8,"veRSA",0.140698348622448
"alexnet_random","Untrained",0.9,"cRSA",0.0331322294856681
"alexnet_random","Untrained",0.9,"veRSA",0.140190401698689
"alexnet_random","Untrained",0.95,"cRSA",0.0336226789829203
"alexnet_random","Untrained",0.95,"veRSA",0.134711325546125
"alexnet_random","Untrained",1,"cRSA",0.0332004274612581
"alexnet_random","Untrained",1,"veRSA",0.110171888463892
"coat_lite_tiny_classification","Trained",0.55,"cRSA",0.171573110895925
"coat_lite_tiny_classification","Trained",0.55,"veRSA",0.442938268499639
"coat_lite_tiny_classification","Trained",0.6,"cRSA",0.211127227014862
"coat_lite_tiny_classification","Trained",0.6,"veRSA",0.486441461871953
"coat_lite_tiny_classification","Trained",0.65,"cRSA",0.201173048677464
"coat_lite_tiny_classification","Trained",0.65,"veRSA",0.544715970745644
"coat_lite_tiny_classification","Trained",0.7,"cRSA",0.194171226271793
"coat_lite_tiny_classification","Trained",0.7,"veRSA",0.544560694905578
"coat_lite_tiny_classification","Trained",0.75,"cRSA",0.212829370063581
"coat_lite_tiny_classification","Trained",0.75,"veRSA",0.595475970958928
"coat_lite_tiny_classification","Trained",0.8,"cRSA",0.255013493842856
"coat_lite_tiny_classification","Trained",0.8,"veRSA",0.645981534839701
