"Model ID","Architecture","Train Task","Train Data","CRSA","WRSA"
"CLiP-ResNet50","ResNet50","clip","openai400M",0.345875571518963,0.717295340720887
"CLiP-ResNet101","ResNet101","clip","openai400M",0.35317309169339,0.714726451660284
"RegNet-64Gf-SEER","RegNet-64Gf","seer","random1B",0.35123101888529,0.711955047776726
"RegNet-128Gf-SEER","RegNet-128Gf","seer","random1B",0.330694249834873,0.710837143560364
"CLiP-ViT-B/32","ViT-B/32","clip","openai400M",0.349047116977608,0.709119710775104
"CLiP-ViT-B/32","ViT-B/16","clip","openai400M",0.350411378306599,0.708478547506492
"ViT-B-SLIP","ViT-B","slip","YFCC15M",0.334595198955539,0.70639757295833
"ConvNext-Large-IN21K","convnext_large","classification","imagenet21k",0.353059432157135,0.705726131133814
"ResMLP-Big-24-IN21K","resmlp_big_24_224","classification","imagenet21k",0.394690777150952,0.704889655525824
"RegNet-32Gf-SEER","RegNet-32Gf","seer","random1B",0.352421395952412,0.704536060575759
"CLiP-ViT-L/14","ViT-L/14","clip","openai400M",0.314396265461297,0.703746286411152
"ConvNext-Base-IN21K","convnext_base","classification","imagenet21k",0.329927807227396,0.702359390195972
"ViT-L-SLIP","ViT-L","slip","YFCC15M",0.315422153636622,0.701492489172923
"BiT-Expert-Abstraction","ResNet50-V2","bit_expert","big_transfer",0.349655249718515,0.701331421163162
"Swin-B-P4-W7-IN21K","swin_base_patch4_window7_224","classification","imagenet21k",0.322634180986898,0.70031979735078
"Swin-L-P4-W7-IN21K","swin_large_patch4_window7_224","classification","imagenet21k",0.324342400438842,0.700238621225425
"BiT-Expert-Mammal","ResNet50-V2","bit_expert","big_transfer",0.349801222969057,0.699517243036545
"ResNet50-SimCLR","ResNet50","selfsupervised","imagenet",0.361619689289492,0.699473263615655
"BiT-Expert-Object","ResNet50-V2","bit_expert","big_transfer",0.348372138070172,0.699150587800203
"RegNet-32Gf-SEER-INFT","RegNet-32Gf","seer","random1B",0.361970473708285,0.697947767050315
"RegNet-64Gf-SEER-INFT","RegNet-64Gf","seer","random1B",0.33250550984887,0.697451246034098
"BiT-Expert-Animal","ResNet50-V2","bit_expert","big_transfer",0.356768240635451,0.697022896514738
"XCIT-N-12-P8","xcit_nano_12_p8_224","classification","imagenet",0.363516807787596,0.696689486717848
"ResMLP-Big-24","resmlp_big_24_224","classification","imagenet",0.361541200186061,0.696506878161363
"ViT-L-SLIP-CC12M","ViT-L","slip","YFCC15M",0.286828273345008,0.696148553354365
"BiT-Expert-Bird","ResNet50-V2","bit_expert","big_transfer",0.348665674593437,0.696079745511412
"YOLO-V5-S","yolov5s","yolo","coco,voc",0.356176820136808,0.69534739015991
"YOLO-V5-M","yolov5m","yolo","coco,voc",0.370379541308488,0.694824935691202
"YOLO-V5-L","yolov5l","yolo","coco,voc",0.350105683846968,0.693639162017745
"BiT-Expert-Relation","ResNet50-V2","bit_expert","big_transfer",0.355761982308024,0.692788234002528
"ResMLP-36","resmlp_36_224","classification","imagenet",0.346077192820591,0.691810130887914
"NF-ResNet50","nf_resnet50","classification","imagenet",0.400664952115988,0.691458182434738
"ViT-B-SimCLR","ViT-B","slip","YFCC15M",0.341172802777631,0.69144925266006
"EfficientNet-B1","efficientnet_b1","classification","imagenet",0.422370289084752,0.691123208736203
"BiT-Expert-Arthropod","ResNet50-V2","bit_expert","big_transfer",0.36119397481086,0.69108283658869
"BiT-Expert-Flower","ResNet50-V2","bit_expert","big_transfer",0.33381418080141,0.691078116793662
"BiT-Expert-Instrument","ResNet50-V2","bit_expert","big_transfer",0.352846419702904,0.690903784261306
"BiT-Expert-Vehicle","ResNet50-V2","bit_expert","big_transfer",0.350099594577561,0.690576645149307
"GMLP-S16","gmlp_s16_224","classification","imagenet",0.402046371536414,0.690224548991095
"ViT-L-SimCLR","ViT-L","slip","YFCC15M",0.327152378902608,0.690094782212805
"BiT-Expert-Food","ResNet50-V2","bit_expert","big_transfer",0.355948333116041,0.690048975400583
"ResNet50-DeepClusterV2","ResNet50","selfsupervised","imagenet",0.329791786118654,0.68987910091454
"RegNet-128Gf-SEER-INFT","RegNet-128Gf","seer","random1B",0.341703498281458,0.689252316003368
"HardCoreNAS-F","hardcorenas_f","classification","imagenet",0.435452821789894,0.689066024979016
"ViT-S-SLIP","ViT-S","slip","YFCC15M",0.331338539671069,0.688661419493063
"ViT-S-SimCLR","ViT-S","slip","YFCC15M",0.339453470163235,0.688482039895487
"LeViT128","levit_128","classification","imagenet",0.424757505187661,0.687948373747472
"Dino-ResNet50","resnet50","selfsupervised","imagenet",0.358136871302894,0.686916802693139
"ResMLP-24","resmlp_24_224","classification","imagenet",0.368411515940519,0.685586299821049
"Swin-L-P4-W7","swin_large_patch4_window7_224","classification","imagenet",0.282725557536005,0.685112966446932
"PoolFormer-S36","poolformer_s36","classification","imagenet",0.3636489765994,0.685101452754617
"HardCoreNAS-A","hardcorenas_a","classification","imagenet",0.421924612226752,0.685037030009574
"XCIT-N-12-P16","xcit_nano_12_p16_224","classification","imagenet",0.392453915336771,0.68465777648567
"Dino-VIT-B16","vitb16","selfsupervised","imagenet",0.330507749181776,0.684039464722449
"GMixer-24","gmixer_24_224","classification","imagenet",0.343638077749623,0.6837334720886
"ResNet50-SwAV-BS4096","ResNet50","selfsupervised","imagenet",0.337453781311998,0.683680597954077
"ECA-NFNeT-L0","eca_nfnet_l0","classification","imagenet",0.400956167547613,0.683437964436189
"NF-Net-L0","nfnet_l0","classification","imagenet",0.417204964333812,0.682639768390844
"EfficientNet-B3","efficientnet_b3","classification","imagenet",0.430582847816565,0.681269729611084
"ResNet50","resnet50","classification","imagenet",0.378881404661809,0.680405447068476
"Mixer-L16-IN22K","mixer_l16_224","classification","imagenet21k",0.234487758898889,0.680087558003426
"SemNASNet100","semnasnet_100","classification","imagenet",0.404970484242164,0.679201737925084
"ResNet50-BarlowTwins-BS2048","ResNet50","selfsupervised","imagenet",0.36704799817766,0.679154468700829
"Swin-B-P4-W7","swin_base_patch4_window7_224","classification","imagenet",0.296324883667926,0.678895864853623
"Swin-T-P4-W7","swin_tiny_patch4_window7_224","classification","imagenet",0.315281594122935,0.67829146416013
"ViT-B-P16-IN21K","vit_base_patch16_224","classification","imagenet21k",0.312214392129989,0.677361806006053
"CSP-ResNet50","cspresnet50","classification","imagenet",0.399676758956653,0.676782479703953
"MobileNet-V3-Large","mobilenetv3_large_100","classification","imagenet",0.412016541417,0.676226726272867
"MobileNet-V2","mobilenet_v2","classification","imagenet",0.357820482482453,0.675674271570439
"Faster-RCNN-ResNet50-FPN","faster_rcnn_R_50_FPN_3x","detection","coco2017",0.370387426849006,0.675598511260687
"GhostNet100","ghostnet_100","classification","imagenet",0.398520091000847,0.675593260595292
"ConvNext-B","convnext_base","classification","imagenet",0.298370451706448,0.675561003734044
"ConvMixer-768-32","convmixer_768_32","classification","imagenet",0.34240654411404,0.675434465808741
"SEResNext50-32x4D","seresnext50_32x4d","classification","imagenet",0.383631520019587,0.674712991800946
"ResMLP-12","resmlp_12_224","classification","imagenet",0.364914539892309,0.67463722969758
"Inception-V3","inception_v3","classification","imagenet",0.416620290720153,0.674591946293969
"RegNetX-64","regnetx_064","classification","imagenet",0.303055881890433,0.673858365291194
"MNASNet1.0","mnasnet1_0","classification","imagenet",0.368975838905901,0.673052513612464
"CoaT-Lite-Tiny","coat_lite_tiny","classification","imagenet",0.322903124063489,0.672618455680976
"ResNet50-PIRL","ResNet50","selfsupervised","imagenet",0.354787522151078,0.672243604079862
"Mask-RCNN-ResNet50-FPN","mask_rcnn_R_50_FPN_3x","segmentation","coco2017",0.3633896697386,0.670917144850728
"GoogleNet","googlenet","classification","imagenet",0.376684864851218,0.670522442873106
"ViT-S-CLIP","ViT-S","slip","YFCC15M",0.293342267701608,0.670207078589246
"RegNetY-64","regnety_064","classification","imagenet",0.372330858512492,0.669790650866851
"ViT-B-CLIP","ViT-B","slip","YFCC15M",0.294206679038478,0.668024171404883
"DenseNet121","densenet121","classification","imagenet",0.368812779436822,0.667968763709029
