model_string,model_layer,random_projection,effective_dimensions
resnet18_classification,Conv2d-19,False,118.78798358021498
resnet18_classification,Conv2d-19,True,114.1822386105124
swin_base_patch4_window7_224_classification,LayerNorm-50,False,322.4066080220345
swin_base_patch4_window7_224_classification,LayerNorm-50,True,304.4307361220615
vit_large_patch16_224_random,Linear-61,False,13.347449499610738
vit_large_patch16_224_random,Linear-61,True,13.319156698028776
swin_large_patch4_window7_224_random,GELU-22,False,21.655111458513197
swin_large_patch4_window7_224_random,GELU-22,True,21.44979913141516
efficientnet_b3_classification,Identity-110,False,238.6291632205411
efficientnet_b3_classification,Identity-110,True,229.85874790805903
xcit_nano_12_p16_224_random,Linear-54,False,1.2286976003425092
xcit_nano_12_p16_224_random,Linear-54,True,1.2321376631688072
dino_vitb16_selfsupervised,VisionTransformer-1,False,69.63696044658626
dino_vitb16_selfsupervised,VisionTransformer-1,True,70.1039076284787
convnext_large_in22k_classification,Linear-69,False,117.59914933559364
convnext_large_in22k_classification,Linear-69,True,115.658832127168
ResNet50-PIRL_selfsupervised,AdaptiveAvgPool2d-1,False,53.26209507906617
ResNet50-PIRL_selfsupervised,AdaptiveAvgPool2d-1,True,53.07096205858135
visformer_small_classification,BatchNorm2d-21,False,303.75006198767727
visformer_small_classification,BatchNorm2d-21,True,288.77099186597746
normal_taskonomy,Conv2d-44,False,106.80846881915912
normal_taskonomy,Conv2d-44,True,105.03739540091492
resnet101_random,ReLU-52,False,3.966038679979765
resnet101_random,ReLU-52,True,3.912993634846825
ViT-S-SimCLR_slip,Identity-50,False,35.68781573000948
ViT-S-SimCLR_slip,Identity-50,True,35.80922125196675
resmlp_36_224_classification,Linear-86,False,139.1788665955725
resmlp_36_224_classification,Linear-86,True,134.60119154796544
BiT-Expert-ResNet-V2-Abstraction_bit_expert,StdConv2d-49,False,76.08598550261242
BiT-Expert-ResNet-V2-Abstraction_bit_expert,StdConv2d-49,True,75.06594463627796
BiT-Expert-ResNet-V2-Flower_bit_expert,StdConv2d-49,False,79.240580556955
BiT-Expert-ResNet-V2-Flower_bit_expert,StdConv2d-49,True,77.92422211387876
alexnet_gn_ipcl_openimages,ReLU-6,False,50.85859844860355
alexnet_gn_ipcl_openimages,ReLU-6,True,50.666626075835744
vit_large_patch16_224_classification,Linear-77,False,474.0259280805868
vit_large_patch16_224_classification,Linear-77,True,440.9055160646243
nf_resnet50_classification,ScaledStdConv2d-49,False,51.18796563258662
nf_resnet50_classification,ScaledStdConv2d-49,True,50.383009070851486
DPT_Hybrid_monoculardepth,Linear-15,False,68.4794900363499
DPT_Hybrid_monoculardepth,Linear-15,True,68.18584287020742
nf_resnet50_random,AdaptiveAvgPool2d-1,False,3.5856098666528102
nf_resnet50_random,AdaptiveAvgPool2d-1,True,3.591659509016701
coat_lite_tiny_random,ConvRelPosEnc-21,False,46.78944602532023
coat_lite_tiny_random,ConvRelPosEnc-21,True,46.28394252985338
alexnet_gn_ipcl_vggface2,ReLU-7,False,22.65810977605388
alexnet_gn_ipcl_vggface2,ReLU-7,True,22.306434125456025
mnasnet1_0_random,BatchNorm2d-35,False,13.18447706836218
mnasnet1_0_random,BatchNorm2d-35,True,12.97761222516922
vit_base_patch16_224_in21k_classification,Linear-49,False,24.610671691934677
vit_base_patch16_224_in21k_classification,Linear-49,True,23.93005415047758
ghostnet_100_random,Conv2d-62,False,1.3930407968398089
ghostnet_100_random,Conv2d-62,True,1.3733871985935306
egomotion_taskonomy,ReLU-26,False,351.84456750639487
egomotion_taskonomy,ReLU-26,True,328.6897169077483
vgg16_classification,Linear-1,False,29.167116665619687
vgg16_classification,Linear-1,True,28.590339900946194
resnet101_classification,Conv2d-93,False,73.41193062505499
resnet101_classification,Conv2d-93,True,73.81586731062778
tnt_s_patch16_224_random,Linear-133,False,28.281238506376564
tnt_s_patch16_224_random,Linear-133,True,28.37411372742525
mnasnet1_0_classification,ReLU-34,False,196.92617304092343
mnasnet1_0_classification,ReLU-34,True,189.4789302313024
alexnet_classification,ReLU-6,False,107.87621791574634
alexnet_classification,ReLU-6,True,105.50376467746318
hardcorenas_f_classification,Hardsigmoid-14,False,14.840683256458162
hardcorenas_f_classification,Hardsigmoid-14,True,14.687904333638832
xception_random,MaxPool2d-4,False,23.824522890169742
xception_random,MaxPool2d-4,True,23.2136406819758
hardcorenas_f_random,Conv2d-51,False,1.228466741977989
hardcorenas_f_random,Conv2d-51,True,1.225985674161867
resmlp_24_224_random,Linear-66,False,21.2998391961798
resmlp_24_224_random,Linear-66,True,21.785539347169617
gmixer_24_224_random,Linear-51,False,60.16333270736913
gmixer_24_224_random,Linear-51,True,60.30613186535063
convnext_base_in22k_classification,Conv2d-26,False,162.86550733119157
convnext_base_in22k_classification,Conv2d-26,True,157.69575272432763
semnasnet_100_random,InvertedResidual-9,False,17.806603724118293
semnasnet_100_random,InvertedResidual-9,True,17.437242817314356
ViT-B-CLIP_slip,Identity-50,False,86.20788475259374
ViT-B-CLIP_slip,Identity-50,True,85.39799535224658
vit_small_patch16_224_classification,LayerNorm-25,False,115.75329868028754
vit_small_patch16_224_classification,LayerNorm-25,True,117.7401917685023
BiT-Expert-ResNet-V2-Mammal_bit_expert,PreActBottleneck-15,False,154.5992265987253
BiT-Expert-ResNet-V2-Mammal_bit_expert,PreActBottleneck-15,True,149.68239432923693
eca_nfnet_l0_classification,ScaledStdConv2d-47,False,128.02706214921503
eca_nfnet_l0_classification,ScaledStdConv2d-47,True,125.57217319756415
