model_string,imagnet1k_top1
alexnet_classification,56.522
coat_lite_tiny_classification,77.514
convit_base_classification,82.286
convit_tiny_classification,73.114
convmixer_768_32_classification,80.164
convnext_base_classification,83.838
convnext_base_in22k_classification,85.824
convnext_large_classification,84.292
convnext_large_in22k_classification,86.636
crossvit_base_240_classification,82.216
cspresnet50_classification,79.582
deit_base_patch16_224_classification,81.996
densenet121_classification,75.584
dino_resnet50_selfsupervised,75.3
dino_vitb16_selfsupervised,78.2
dla34_classification,74.62
efficientnet_b1_classification,78.796
efficientnet_b3_classification,82.24
ghostnet_100_classification,73.974
gmixer_24_224_classification,78.036
gmlp_s16_224_classification,79.64
hardcorenas_a_classification,75.92
hardcorenas_f_classification,78.098
inception_v3_classification,77.438
jx_nest_tiny_classification,81.42
levit_128_classification,78.492
mixer_b16_224_classification,76.612
mixer_b16_224_in21k_classification,
mixer_l16_224_classification,72.054
mixer_l16_224_in21k_classification,
mnasnet1_0_classification,67.734
mobilenet_v2_classification,71.878
mobilenetv3_large_100_classification,75.766
nf_resnet50_classification,80.654
nfnet_l0_classification,82.752
pit_b_224_classification,82.446
pit_ti_224_classification,72.912
poolformer_s36_classification,81.418
RegNet-128Gf-SEER_seer,75.96
RegNet-128Gf-SEER-INFT_seer,84.5
RegNet-32Gf-SEER_seer,74.03
RegNet-32Gf-SEER-INFT_seer,83.4
RegNet-64Gf-SEER_seer,75.25
RegNet-64Gf-SEER-INFT_seer,84
regnetx_064_classification,79.066
regnety_064_classification,83.72
resmlp_12_224_classification,76.656
resmlp_24_224_classification,79.382
resmlp_36_224_classification,79.768
resmlp_big_24_224_classification,81.032
resmlp_big_24_224_in22ft1k_classification,84.394
resnet101_classification,81.932
resnet152_classification,82.82
resnet18_classification,69.744
resnet50_classification,76.1
ResNet50-BarlowTwins-BS2048_selfsupervised,71.8
ResNet50-ClusterFit-16K-RotNet_selfsupervised,53.63
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,75.18
ResNet50-JigSaw-Goyal19_selfsupervised,46.58
ResNet50-JigSaw-P100_selfsupervised,48.57
ResNet50-MoCoV2-BS256_selfsupervised,66.4
ResNet50-PIRL_selfsupervised,64.29
ResNet50-RotNet_selfsupervised,48.2
ResNet50-SimCLR_selfsupervised,68.8
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,74.92
RN101_clip,75.7
RN50_clip,73.3
seresnext50_32x4d_classification,81.258
shufflenet_v2_x1_0_classification,60.552
skresnext50_32x4d_classification,80.152
squeezenet1_0_classification,58.092
swin_base_patch4_window7_224_classification,85.248
swin_base_patch4_window7_224_in22k_classification,
swin_large_patch4_window7_224_classification,86.314
swin_large_patch4_window7_224_in22k_classification,
swin_tiny_patch4_window7_224_classification,81.374
tnt_s_patch16_224_classification,81.52
vgg16_classification,71.59
visformer_small_classification,82.106
vit_base_patch16_224_classification,84.528
vit_base_patch16_224_in21k_classification,
vit_base_patch32_224_classification,80.722
vit_base_patch32_224_in21k_classification,
vit_base_r50_s16_224_in21k_classification,84.97
vit_large_patch16_224_classification,85.838
vit_large_patch16_224_in21k_classification,
vit_small_patch16_224_classification,81.396
vit_small_patch16_224_in21k_classification,
vit_small_patch32_224_classification,75.986
vit_small_patch32_224_in21k_classification,
vit_tiny_patch16_224_classification,75.462
ViT-B-CLIP_slip,66.5
ViT-B-SimCLR_slip,64
ViT-B-SLIP_slip,72.1
ViT-B/16_clip,80.2
ViT-B/32_clip,76.1
ViT-L-CLIP_slip,81
ViT-L-CLIP-CC12M_slip,69
ViT-L-SimCLR_slip,84
ViT-L-SLIP_slip,84.2
ViT-L-SLIP-CC12M_slip,73.7
ViT-L/14_clip,83.9
ViT-S-CLIP_slip,59.3
ViT-S-SimCLR_slip,58.1
ViT-S-SLIP_slip,66.4
xception_classification,79.05
xcit_nano_12_p16_224_classification,69.954
xcit_nano_12_p8_224_classification,73.91
