model_string,total_params
resnet18_classification,11689512
swin_base_patch4_window7_224_classification,87704680
vit_large_patch16_224_random,304123880
swin_large_patch4_window7_224_random,196437160
efficientnet_b3_classification,12145936
xcit_nano_12_p16_224_random,3047928
dino_vitb16_selfsupervised,85646592
convnext_large_in22k_classification,229772881
ResNet50-PIRL_selfsupervised,23508032
visformer_small_classification,39956168
normal_taskonomy,23655504
resnet101_random,44549160
ViT-S-SimCLR_slip,21589632
resmlp_36_224_classification,44662840
BiT-Expert-ResNet-V2-Abstraction_bit_expert,23496256
BiT-Expert-ResNet-V2-Flower_bit_expert,23496256
alexnet_gn_ipcl_openimages,58823520
vit_large_patch16_224_classification,304123880
nf_resnet50_classification,25557032
DPT_Hybrid_monoculardepth,120714113
nf_resnet50_random,25557032
coat_lite_tiny_random,5721192
alexnet_gn_ipcl_vggface2,58823520
mnasnet1_0_random,4383312
vit_base_patch16_224_in21k_classification,102443859
ghostnet_100_random,5180588
egomotion_taskonomy,23655504
vgg16_classification,138357544
resnet101_classification,44549160
tnt_s_patch16_224_random,23678920
mnasnet1_0_classification,4383312
alexnet_classification,61100840
hardcorenas_f_classification,8162312
xception_random,22855952
hardcorenas_f_random,8162312
resmlp_24_224_random,30002248
gmixer_24_224_random,24721096
convnext_base_in22k_classification,109935441
semnasnet_100_random,3853550
ViT-B-CLIP_slip,85646592
vit_small_patch16_224_classification,21974632
BiT-Expert-ResNet-V2-Mammal_bit_expert,23496256
eca_nfnet_l0_classification,24143924
seresnext50_32x4d_classification,27559896
cspresnet50_classification,21575848
mixer_b16_224_in21k_classification,75908739
ViT-B/32_clip,59068416
vit_small_patch32_224_in21k_classification,30883923
pit_ti_224_classification,4800552
edge_texture_taskonomy,23655504
room_layout_taskonomy,23655504
ViT-S-CLIP_slip,21589632
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,23508032
alexnet_gn_ipcl_imagenet,58823520
vit_base_r50_s16_224_in21k_classification,114495507
vit_base_patch32_224_in21k_classification,104213331
ViT-B-SLIP_slip,85646592
vit_small_patch16_224_random,21974632
jigsaw_taskonomy,23655504
poolformer_s36_random,30842792
resmlp_big_24_224_in22ft1k_classification,129101416
coat_lite_tiny_classification,5721192
retinanet_R_50_FPN_3x_detection,7997440
mobilenetv3_large_100_classification,5458632
RegNet-64Gf-SEER-INFT_seer,306005402
vit_base_patch16_224_random,86415592
pit_ti_224_random,4800552
BiT-Expert-ResNet-V2-Bird_bit_expert,23496256
levit_128_random,9206112
xcit_nano_12_p16_224_classification,3047928
inception_v3_classification,23834568
mobilenetv3_large_100_random,5458632
point_matching_taskonomy,23655504
autoencoding_taskonomy,23655504
BiT-Expert-ResNet-V2-Food_bit_expert,23496256
vit_small_patch16_224_in21k_classification,29999187
resnet152_random,60192808
dla34_random,15742104
ResNet50-MoCoV2-BS256_selfsupervised,23508032
keypoints2d_taskonomy,23655504
convnext_large_classification,197740264
fixated_pose_taskonomy,23655504
denoising_taskonomy,23655504
cspresnet50_random,21575848
ViT-L-SimCLR_slip,303098880
convit_tiny_classification,5672648
vgg16_random,138357544
convit_base_classification,86388584
ResNet50-ClusterFit-16K-RotNet_selfsupervised,23508032
hardcorenas_a_random,5239848
ViT-L-CLIP-CC12M_slip,85646592
resmlp_12_224_random,15341656
alexnet_gn_ipcl_places256,58823520
squeezenet1_0_classification,1248424
RN50_clip,23527264
skresnext50_32x4d_classification,27404264
crossvit_base_240_random,104718800
nfnet_l0_classification,35074488
regnetx_064_classification,26135048
inception_v3_random,23834568
eca_nfnet_l0_random,24143924
mixer_b16_224_random,59880472
ResNet50-BarlowTwins-BS2048_selfsupervised,23508032
regnety_064_random,30500820
RN101_clip,42519392
levit_128_classification,9206112
ViT-L/14_clip,202153984
resmlp_big_24_224_classification,129101416
depth_euclidean_taskonomy,23655504
ViT-L-CLIP_slip,303098880
convmixer_768_32_random,21110248
jx_nest_tiny_classification,16530760
resmlp_36_224_random,44662840
yolov5s_yolo,7235389
resmlp_24_224_classification,30002248
BiT-Expert-ResNet-V2-Relation_bit_expert,23496256
convit_tiny_random,5672648
vit_small_patch32_224_classification,22859368
nonfixated_pose_taskonomy,23655504
skresnext50_32x4d_random,27404264
dino_resnet50_selfsupervised,23508032
segment_semantic_taskonomy,23655504
RegNet-128Gf-SEER-INFT_seer,675739270
regnetx_064_random,26135048
vit_base_patch32_224_random,88185064
keypoints3d_taskonomy,23655504
ghostnet_100_classification,5180588
xception_classification,22855952
curvature_taskonomy,23655504
swin_base_patch4_window7_224_random,87704680
regnety_064_classification,30500820
xcit_nano_12_p8_224_random,3043720
gmlp_s16_224_random,19422656
vit_small_patch32_224_random,22859368
seresnext50_32x4d_random,27559896
crossvit_base_240_classification,104718800
densenet121_classification,7978856
resnet50_classification,25557032
xcit_nano_12_p8_224_classification,3043720
RegNet-32Gf-SEER-INFT_seer,169659402
pit_b_224_random,73518568
gmixer_24_224_classification,24721096
BiT-Expert-ResNet-V2-Arthropod_bit_expert,23496256
mask_rcnn_R_50_FPN_3x_segmentation,3344384
faster_rcnn_R_50_FPN_3x_detection,3344384
convit_base_random,86388584
segment_unsup2d_taskonomy,23655504
resmlp_big_24_224_random,129101416
RegNet-128Gf-SEER_seer,675739270
inpainting_taskonomy,23655504
gmlp_s16_224_classification,19422656
mobilenet_v2_random,3504872
dla34_classification,15742104
deit_base_patch16_224_random,86415592
efficientnet_b3_random,12145936
convmixer_768_32_classification,21110248
reshading_taskonomy,23655504
ViT-S-SLIP_slip,21589632
ViT-L-SLIP_slip,303098880
mixer_l16_224_random,208196168
MiDaS_monoculardepth,104182785
pit_b_224_classification,73518568
depth_zbuffer_taskonomy,23655504
deit_base_patch16_224_classification,86415592
class_scene_taskonomy,23655504
googlenet_random,6624904
hardcorenas_a_classification,5239848
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,23508032
random_weights_taskonomy,23655504
ViT-B/16_clip,57298944
yolov5m_yolo,21190557
alexnet_random,61100840
mobilenet_v2_classification,3504872
RegNet-64Gf-SEER_seer,306005402
tnt_s_patch16_224_classification,23678920
ViT-L-SLIP-CC12M_slip,85646592
visformer_small_random,39956168
BiT-Expert-ResNet-V2-Object_bit_expert,23496256
shufflenet_v2_x1_0_random,2278604
semnasnet_100_classification,3853550
swin_tiny_patch4_window7_224_classification,28265032
efficientnet_b1_random,7732136
squeezenet1_0_random,1248424
resnet18_random,11689512
vit_large_patch16_224_in21k_classification,325487955
vit_base_patch16_224_classification,86415592
convnext_base_random,88573416
vit_tiny_patch16_224_classification,5679400
yolov5l_yolo,46563709
nfnet_l0_random,35074488
shufflenet_v2_x1_0_classification,2278604
resmlp_12_224_classification,15341656
swin_tiny_patch4_window7_224_random,28265032
edge_occlusion_taskonomy,23655504
efficientnet_b1_classification,7732136
ResNet50-SimCLR_selfsupervised,23508032
segment_unsup25d_taskonomy,23655504
BiT-Expert-ResNet-V2-Instrument_bit_expert,23496256
mixer_l16_224_classification,208196168
swin_large_patch4_window7_224_in22k_classification,228469777
densenet121_random,7978856
ResNet50-RotNet_selfsupervised,23508032
mixer_b16_224_classification,59880472
vit_tiny_patch16_224_random,5679400
