"model_string","model","train_task","train_data","architecture","model_class","model_depth","display_name","description","total_feature_count","total_parameter_count","metric","score","compare_training","compare_architecture","compare_goal_slip","compare_goal_taskonomy_tasks","compare_goal_taskonomy_cluster","compare_goal_expertise","compare_diet_ipcl","compare_goal_selfsupervised","compare_goal_contrastive","compare_diet_imagenetsize"
"mobilenetv3_large_100_random","mobilenetv3_large_100","random",NA,"mobilenetv3_large_100","Convolutional",265,"MobileNet-V3-Large","MobileNet-V3-Large randomly initialized, with no training.",20046944,5483032,"crsa",0.0092489510687265,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"inception_v3_random","inception_v3","random",NA,"inception_v3","Convolutional",300,"Inception-V3","Inception-V3 randomly initialized, with no training.",15467136,23834568,"crsa",0.0163388506084938,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"convmixer_768_32_random","convmixer_768_32","random",NA,"convmixer_768_32","Hybrid",232,"ConvMixer-768-32","ConvMixer-768-32 randomly initialized, with no training.",178524368,21110248,"crsa",0.0170526739869458,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"dla34_random","dla34","random",NA,"dla34","Convolutional",151,"DLA34","DLA34 randomly initialized, with no training.",17578680,15742104,"crsa",0.017972850515147,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"hardcorenas_f_random","hardcorenas_f","random",NA,"hardcorenas_f","Convolutional",326,"HardCoreNAS-F","HardCoreNAS-F randomly initialized, with no training.",25099520,8199688,"crsa",0.0238783535503122,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"xcit_nano_12_p16_224_random","xcit_nano_12_p16_224","random",NA,"xcit_nano_12_p16_224","Transformer",NA,"XCIT-N-12-P16","XCIT-N-12-P16 randomly initialized, with no training.",NA,NA,"crsa",0.0263711998049711,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"hardcorenas_a_random","hardcorenas_a","random",NA,"hardcorenas_a","Convolutional",204,"HardCoreNAS-A","HardCoreNAS-A randomly initialized, with no training.",19698736,5260232,"crsa",0.0284509383735605,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"levit_128_random","levit_128","random",NA,"levit_128","Transformer",NA,"LeViT128","LeViT128 randomly initialized, with no training.",NA,NA,"crsa",0.0316217223493079,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"semnasnet_100_random","semnasnet_100","random",NA,"semnasnet_100","Convolutional",274,"SemNASNet100","SemNASNet100 randomly initialized, with no training.",27843180,3887038,"crsa",0.0324356048782161,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"resnet101_random","resnet101","random",NA,"resnet101","Convolutional",345,"ResNet101","ResNet101 randomly initialized, with no training.",56326608,44549160,"crsa",0.0326738621175726,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"resnet152_random","resnet152","random",NA,"resnet152","Convolutional",515,"ResNet152","ResNet152 randomly initialized, with no training.",79507920,60192808,"crsa",0.0354355937470488,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"random_weights_taskonomy","random_weights","taskonomy",NA,"resnet50","Convolutional",179,"Random Weights","Taskonomy architecture randomly initialized.",37564576,23655504,"crsa",0.0366683742114687,NA,NA,NA,"random_weights","Random",NA,NA,NA,NA,NA
"ghostnet_100_random","ghostnet_100","random",NA,"ghostnet_100","Convolutional",287,"GhostNet100","GhostNet100 randomly initialized, with no training.",13446920,5182508,"crsa",0.0370784391643127,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"xcit_nano_12_p8_224_random","xcit_nano_12_p8_224","random",NA,"xcit_nano_12_p8_224","Transformer",NA,"XCIT-N-12-P8","XCIT-N-12-P8 randomly initialized, with no training.",NA,NA,"crsa",0.0377491098194409,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"regnetx_064_random","regnetx_064","random",NA,"regnetx_064","Convolutional",373,"RegNetX-64","RegNetX-64 randomly initialized, with no training.",101428288,26209256,"crsa",0.0391958974096433,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"alexnet_random","alexnet","random",NA,"alexnet","Convolutional",22,"AlexNet","AlexNet randomly initialized, with no training.",1099216,61100840,"crsa",0.0393059297407748,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"resnet50_random","resnet50","random",NA,"resnet50","Convolutional",175,"ResNet50","ResNet50 randomly initialized, with no training.",37560784,25557032,"crsa",0.03939422286886,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"vgg16_random","vgg16","random",NA,"vgg16","Convolutional",40,"VGG16","VGG16 randomly initialized, with no training.",28677072,138357544,"crsa",0.0395677042402297,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"shufflenet_v2_x1_0_random","shufflenet_v2_x1_0","random",NA,"shufflenet_v2_x1_0","Convolutional",168,"ShuffleNet-V2-x1.0","ShuffleNet-V2-x1.0 randomly initialized, with no training.",6284192,2278604,"crsa",0.0405461169908239,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cspresnet50_random","cspresnet50","random",NA,"cspresnet50","Convolutional",329,"CSP-ResNet50","CSP-ResNet50 randomly initialized, with no training.",51186592,21616168,"crsa",0.0407835686810568,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"mobilenet_v2_random","mobilenet_v2","random",NA,"mobilenet_v2","Convolutional",159,"MobileNet-V2","MobileNet-V2 randomly initialized, with no training.",20037616,3504872,"crsa",0.0433733266514322,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"skresnext50_32x4d_random","skresnext50_32x4d","random",NA,"skresnext50_32x4d","Convolutional",497,"SKResNext50-32x4D","SKResNext50-32x4D randomly initialized, with no training.",99238128,27479784,"crsa",0.0435352188400316,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"resnet18_random","resnet18","random",NA,"resnet18","Convolutional",69,"ResNet18","ResNet18 randomly initialized, with no training.",8231376,11689512,"crsa",0.0443841450982446,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"pit_ti_224_random","pit_ti_224","random",NA,"pit_ti_224","Transformer",236,"PiT-T-224","PiT-T-224 randomly initialized, with no training.",11698296,4800552,"crsa",0.0455926446336989,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"efficientnet_b1_random","efficientnet_b1","random",NA,"efficientnet_b1","Convolutional",435,"EfficientNet-B1","EfficientNet-B1 randomly initialized, with no training.",42450128,7794184,"crsa",0.0485452543198814,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"seresnext50_32x4d_random","seresnext50_32x4d","random",NA,"seresnext50_32x4d","Convolutional",305,"SEResNext50-32x4D","SEResNext50-32x4D randomly initialized, with no training.",58496224,27559896,"crsa",0.049269782244452,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"vit_base_patch16_224_random","vit_base_patch16_224","random",NA,"vit_base_patch16_224","Transformer",225,"ViT-B-P16","ViT-B-P16 randomly initialized, with no training.",57181664,86415592,"crsa",0.0506194007793982,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"vit_large_patch16_224_random","vit_large_patch16_224","random",NA,"vit_large_patch16_224","Transformer",441,"ViT-L-P16","ViT-L-P16 randomly initialized, with no training.",151473488,304123880,"crsa",0.0519490638911131,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
"regnety_064_random","regnety_064","random",NA,"regnety_064","Convolutional",658,"RegNetY-64","RegNetY-64 randomly initialized, with no training.",103013924,30583252,"crsa",0.0521213467053496,"random",NA,NA,NA,NA,NA,NA,NA,NA,NA
