voxel_id,subj_id,ncsnr,OTC,early,ventral,midventral,lateral,midlateral,parietal,midparietal,FFA-1,FFA-2,OFA,EBA,FBA-1,FBA-2,OPA,PPA,VWFA-1,VWFA-2,OWFA
S1-12-21-47,1,0.34287160634994507,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-22-41,1,0.3129907548427582,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-22-45,1,0.5169013142585754,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-22-46,1,0.4856290817260742,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-22-47,1,0.5639116168022156,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-22-48,1,0.6661759614944458,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-22-49,1,0.6064585447311401,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-23-39,1,0.4209100306034088,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-23-41,1,0.37818536162376404,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-23-44,1,0.4104244112968445,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-23-45,1,0.3998631536960602,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-23-46,1,0.4100203514099121,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-23-47,1,0.4182387888431549,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-23-48,1,0.6031625270843506,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-23-49,1,0.40465208888053894,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-23-50,1,0.5269683599472046,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-24-39,1,0.42126938700675964,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-24-41,1,0.270494282245636,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-24-45,1,0.3562578558921814,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-24-46,1,0.5023788213729858,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-24-48,1,0.20855943858623505,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-25-39,1,0.2996608316898346,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-27-47,1,0.26503679156303406,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-28-46,1,0.29726868867874146,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-12-28-47,1,0.2662377953529358,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-19-47,1,0.39077451825141907,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-20-45,1,1.3480292558670044,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-20-46,1,0.9488361477851868,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-20-47,1,0.6420626044273376,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-20-48,1,0.5331598520278931,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-21-41,1,0.23807395994663239,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-21-44,1,0.575684130191803,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-21-45,1,0.5867558717727661,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-13-21-46,1,0.5708073973655701,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
