voxel_id,subj_id,ncsnr,EVC,early,ventral,midventral,lateral,midlateral,parietal,midparietal,V1v,V1d,V2v,V2d,V3v,V3d,hV4
S1-22-11-34,1,0.24873657524585724,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-22-11-35,1,0.15933848917484283,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-22-12-33,1,0.14533619582653046,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-10-33,1,0.05489194765686989,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-10-34,1,0.1727268248796463,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-10-35,1,0.06498172879219055,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-11-33,1,0.10438618808984756,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-11-34,1,0.3016529083251953,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-11-35,1,0.24018920958042145,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-11-36,1,0.4283398985862732,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-12-33,1,0.1615399420261383,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-12-34,1,0.19273315370082855,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-12-35,1,0.28439873456954956,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-13-30,1,0.16000527143478394,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-13-31,1,0.256024569272995,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-13-32,1,0.3272542357444763,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-13-33,1,0.3353998064994812,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-13-34,1,0.3737185299396515,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-14-30,1,0.28053343296051025,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-23-14-31,1,0.26042440533638,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-8-40,1,0.17070215940475464,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
S1-24-9-34,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-9-35,1,0.12641127407550812,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-9-37,1,0.42473793029785156,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
S1-24-9-38,1,0.4843215346336365,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
S1-24-10-33,1,0.24629652500152588,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-10-34,1,0.29388055205345154,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-10-35,1,0.23573729395866394,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-10-36,1,0.5606989860534668,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-10-37,1,0.44802194833755493,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
S1-24-11-33,1,0.27545061707496643,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-11-34,1,0.2775006890296936,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-11-35,1,0.3275902271270752,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-11-36,1,0.6512422561645508,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-12-31,1,0.26500576734542847,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-12-32,1,0.427072137594223,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-12-33,1,0.47961926460266113,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-12-34,1,0.4281567931175232,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-12-36,1,0.7547593116760254,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-13-30,1,0.16348238289356232,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-13-31,1,0.2531906068325043,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-13-32,1,0.38608524203300476,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-13-33,1,0.5774375796318054,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-13-34,1,0.6238396167755127,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-13-35,1,0.3872743844985962,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-14-30,1,0.314543753862381,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-14-31,1,0.2580374479293823,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-14-32,1,0.2641289234161377,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-24-15-30,1,0.39475300908088684,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1-25-7-39,1,0.20741675794124603,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S1-25-7-40,1,0.1831112802028656,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S1-25-7-41,1,0.03974756971001625,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S1-25-8-37,1,0.4804103970527649,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
S1-25-8-38,1,0.4422324597835541,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
S1-25-8-39,1,0.4106261432170868,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S1-25-8-40,1,0.22345289587974548,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
S1-25-8-41,1,0.2429451197385788,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
