model,train_type,train_data,architecture,model_class,task_cluster,model_display_name,description,model_source,model_source_url,weights_url,model_string,compare_training,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_expertise,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
alexnet,classification,imagenet,alexnet,Convolutional,Semantic,AlexNet,AlexNet trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,alexnet_classification,classification,Convolutional,,,,,,,,
vgg16,classification,imagenet,vgg16,Convolutional,Semantic,VGG16,VGG16 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,vgg16_classification,classification,Convolutional,,,,,,,,
resnet18,classification,imagenet,resnet18,Convolutional,Semantic,ResNet18,ResNet18 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,resnet18_classification,classification,Convolutional,,,,,,,,
resnet50,classification,imagenet,resnet50,Convolutional,Semantic,ResNet50,ResNet50 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,resnet50_classification,classification,Convolutional,,,,,,,,
resnet101,classification,imagenet,resnet101,Convolutional,Semantic,ResNet101,ResNet101 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,resnet101_classification,classification,Convolutional,,,,,,,,
resnet152,classification,imagenet,resnet152,Convolutional,Semantic,ResNet152,ResNet152 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,resnet152_classification,classification,Convolutional,,,,,,,,
squeezenet1_0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,SqueezeNet1.0,SqueezeNet1.0 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,squeezenet1_0_classification,classification,Convolutional,,,,,,,,
densenet121,classification,imagenet,densenet121,Convolutional,Semantic,DenseNet121,DenseNet121 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,densenet121_classification,classification,Convolutional,,,,,,,,
googlenet,classification,imagenet,googlenet,Convolutional,Semantic,GoogleNet,GoogleNet trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,googlenet_classification,classification,Convolutional,,,,,,,,
shufflenet_v2_x1_0,classification,imagenet,shufflenet_v2_x1_0,Convolutional,Semantic,ShuffleNet-V2-x1.0,ShuffleNet-V2-x1.0 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,shufflenet_v2_x1_0_classification,classification,Convolutional,,,,,,,,
mobilenet_v2,classification,imagenet,mobilenet_v2,Convolutional,Semantic,MobileNet-V2,MobileNet-V2 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,mobilenet_v2_classification,classification,Convolutional,,,,,,,,
mnasnet1_0,classification,imagenet,mnasnet1_0,Convolutional,Semantic,MNASNet1.0,MNASNet1.0 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,,mnasnet1_0_classification,classification,Convolutional,,,,,,,,
alexnet,random,,alexnet,Convolutional,Semantic,AlexNet,"AlexNet randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,alexnet_random,random,,,,,,,,,
vgg16,random,,vgg16,Convolutional,Semantic,VGG16,"VGG16 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,vgg16_random,random,,,,,,,,,
resnet18,random,,resnet18,Convolutional,Semantic,ResNet18,"ResNet18 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,resnet18_random,random,,,,,,,,,
resnet50,random,,resnet50,Convolutional,Semantic,ResNet50,"ResNet50 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,resnet50_random,random,,,,,,,,,
resnet101,random,,resnet101,Convolutional,Semantic,ResNet101,"ResNet101 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,resnet101_random,random,,,,,,,,,
resnet152,random,,resnet152,Convolutional,Semantic,ResNet152,"ResNet152 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,resnet152_random,random,,,,,,,,,
squeezenet1_0,random,,squeezenet1_0,Convolutional,Semantic,SqueezeNet1.0,"SqueezeNet1.0 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,squeezenet1_0_random,random,,,,,,,,,
densenet121,random,,densenet121,Convolutional,Semantic,DenseNet121,"DenseNet121 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,densenet121_random,random,,,,,,,,,
googlenet,random,,googlenet,Convolutional,Semantic,GoogleNet,"GoogleNet randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,googlenet_random,random,,,,,,,,,
shufflenet_v2_x1_0,random,,shufflenet_v2_x1_0,Convolutional,Semantic,ShuffleNet-V2-x1.0,"ShuffleNet-V2-x1.0 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,shufflenet_v2_x1_0_random,random,,,,,,,,,
mobilenet_v2,random,,mobilenet_v2,Convolutional,Semantic,MobileNet-V2,"MobileNet-V2 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,mobilenet_v2_random,random,,,,,,,,,
mnasnet1_0,random,,mnasnet1_0,Convolutional,Semantic,MNASNet1.0,"MNASNet1.0 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,,mnasnet1_0_random,random,,,,,,,,,
autoencoding,taskonomy,taskonomy,resnet50,Convolutional,2D,Autoencoder,Image compression and decompression,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,autoencoding_taskonomy,,,,autoencoding,2D,,,,,
class_object,taskonomy,taskonomy,resnet50,Convolutional,Semantic,Object Classification,1000-way object classification (via knowledge distillation from ImageNet).,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,class_object_taskonomy,,,,class_object,Semantic,,,,,
class_scene,taskonomy,taskonomy,resnet50,Convolutional,Semantic,Scene Classification,Scene Classification (via knowledge distillation from MIT Places).,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,class_scene_taskonomy,,,,class_scene,Semantic,,,,,
curvature,taskonomy,taskonomy,resnet50,Convolutional,3D,Curvatures,Magnitude of 3D principal curvatures,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,curvature_taskonomy,,,,curvature,3D,,,,,
denoising,taskonomy,taskonomy,resnet50,Convolutional,Other,Denoising,Uncorrupted version of corrupted image.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,denoising_taskonomy,,,,denoising,Other,,,,,
depth_euclidean,taskonomy,taskonomy,resnet50,Convolutional,3D,Euclidean Depth,Depth estimation,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,depth_euclidean_taskonomy,,,,depth_euclidean,3D,,,,,
depth_zbuffer,taskonomy,taskonomy,resnet50,Convolutional,3D,Z-Buffer Depth,Depth estimation.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,depth_zbuffer_taskonomy,,,,depth_zbuffer,3D,,,,,
edge_occlusion,taskonomy,taskonomy,resnet50,Convolutional,3D,Occlusion Edges,Edges which include parts of the scene.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,edge_occlusion_taskonomy,,,,edge_occlusion,3D,,,,,
edge_texture,taskonomy,taskonomy,resnet50,Convolutional,2D,Texture Edges,Edges computed from RGB only (texture edges).,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,edge_texture_taskonomy,,,,edge_texture,2D,,,,,
egomotion,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Egomotion,Odometry (camera poses) given three input images.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,,egomotion_taskonomy,,,,egomotion,Geometric,,,,,
